s (1,1) 23
(14,3) (14,4) 107
(15,3) (15,4) 87
(16,3) (16,4) 8
(17,3) (17,4) 80
(18,3) (18,4) 19
(19,3) (19,4) 15
(20,3) (20,4) 31
(21,3) (21,4) 19
(22,3) (22,4) 115
(23,3) (23,4) 74
(24,3) (24,4) 59
(25,3) (25,4) 113
(26,3) (26,4) 16
(27,3) (27,4) 110
(28,3) (28,4) 121
(29,3) (29,4) 130
(30,3) (30,4) 42
(31,3) (31,4) 95
(32,3) (32,4) 50
(33,3) (33,4) 22
(34,3) (34,4) 86
(35,3) (35,4) 90
(36,3) (36,4) 85
(37,3) (37,4) 4
(38,3) (38,4) 137
(39,3) (39,4) 120
(40,3) (40,4) 150
(41,3) (41,4) 115
(42,3) (42,4) 5
(43,3) (43,4) 104
(44,3) (44,4) 20
(45,3) (45,4) 9
(46,3) (46,4) 41
(47,3) (47,4) 21
(48,3) (48,4) 35
(49,3) (49,4) 18
(50,3) (50,4) 31
(51,3) (51,4) 145
(52,3) (52,4) 72
(53,3) (53,4) 100
(54,3) (54,4) 135
(55,3) (55,4) 3
(56,3) (56,4) 28
(57,3) (57,4) 59
(58,3) (58,4) 149
(59,3) (59,4) 147
(60,3) (60,4) 4
(61,3) (61,4) 15
(62,3) (62,4) 131
(63,3) (63,4) 48
(64,3) (64,4) 8
(65,3) (65,4) 106
(66,3) (66,4) 43
(67,3) (67,4) 2
(68,3) (68,4) 17
(69,3) (69,4) 30
(70,3) (70,4) 79
(71,3) (71,4) 53
(72,3) (72,4) 135
(73,3) (73,4) 138
(74,3) (74,4) 123
(75,3) (75,4) 30
(76,3) (76,4) 145
(77,3) (77,4) 50
(78,3) (78,4) 4
(79,3) (79,4) 50
(80,3) (80,4) 112
(81,3) (81,4) 96
(82,3) (82,4) 20
(83,3) (83,4) 60
(84,3) (84,4) 132
(85,3) (85,4) 55
(86,3) (86,4) 26
(87,3) (87,4) 16
(88,3) (88,4) 108
(89,3) (89,4) 44
(90,3) (90,4) 83
(91,3) (91,4) 76
(92,3) (92,4) 28
(93,3) (93,4) 96
(94,3) (94,4) 109
(95,3) (95,4) 87
(96,3) (96,4) 138
(97,3) (97,4) 123
(98,3) (98,4) 108
(99,3) (99,4) 139
(100,3) (100,4) 97
(101,3) (101,4) 66
(102,3) (102,4) 95
(103,3) (103,4) 45
(104,3) (104,4) 76
(105,3) (105,4) 64
(106,3) (106,4) 98
(107,3) (107,4) 21
(108,3) (108,4) 68
(109,3) (109,4) 44
(110,3) (110,4) 145
(111,3) (111,4) 33
(112,3) (112,4) 123
(113,3) (113,4) 73
(114,3) (114,4) 96
(115,3) (115,4) 117
(116,3) (116,4) 44
(117,3) (117,4) 134
(118,3) (118,4) 70
(119,3) (119,4) 40
(120,3) (120,4) 38
(121,3) (121,4) 64
(122,3) (122,4) 106
(123,3) (123,4) 35
(124,3) (124,4) 130
(125,3) (125,4) 147
(126,3) (126,4) 58
(127,3) (127,4) 25
(128,3) (128,4) 96
(129,3) (129,4) 85
(130,3) (130,4) 104
(131,3) (131,4) 70
(132,3) (132,4) 128
(133,3) (133,4) 65
(134,3) (134,4) 50
(135,3) (135,4) 121
(136,3) (136,4) 124
(137,3) (137,4) 136
(138,3) (138,4) 84
(139,3) (139,4) 94
(140,3) (140,4) 75
(141,3) (141,4) 105
(142,3) (142,4) 16
(143,3) (143,4) 57
(144,3) (144,4) 4
(145,3) (145,4) 124
(146,3) (146,4) 106
(147,3) (147,4) 27
(148,3) (148,4) 98
(149,3) (149,4) 12
(150,3) (150,4) 89
(151,3) (151,4) 38
(152,3) (152,4) 104
(153,3) (153,4) 148
(154,3) (154,4) 78
(155,3) (155,4) 29
(156,3) (156,4) 61
(157,3) (157,4) 48
(158,3) (158,4) 3
(159,3) (159,4) 99
(160,3) (160,4) 22
(161,3) (161,4) 70
(162,3) (162,4) 99
(163,3) (163,4) 84
(164,3) (164,4) 132
(165,3) (165,4) 142
(166,3) (166,4) 87
(167,3) (167,4) 123
(168,3) (168,4) 83
(169,3) (169,4) 115
(170,3) (170,4) 70
(1,4) (1,5) 49
(2,4) (2,5) 61
(3,4) (3,5) 36
(4,4) (4,5) 38
(5,4) (5,5) 130
(6,4) (6,5) 63
(7,4) (7,5) 28
(8,4) (8,5) 131
(9,4) (9,5) 54
(10,4) (10,5) 87
(11,4) (11,5) 126
(12,4) (12,5) 7
(13,4) (13,5) 140
(14,4) (14,5) 122
(15,4) (15,5) 89
(16,4) (16,5) 56
(17,4) (17,5) 71
(18,4) (18,5) 19
(19,4) (19,5) 4
(20,4) (20,5) 80
(21,4) (21,5) 89
(22,4) (22,5) 105
(23,4) (23,5) 51
(24,4) (24,5) 112
(25,4) (25,5) 93
(26,4) (26,5) 29
(27,4) (27,5) 67
(28,4) (28,5) 34
(29,4) (29,5) 118
(30,4) (30,5) 3
(31,4) (31,5) 99
(32,4) (32,5) 67
(33,4) (33,5) 147
(34,4) (34,5) 133
(35,4) (35,5) 9
(36,4) (36,5) 38
(37,4) (37,5) 105
(38,4) (38,5) 130
(39,4) (39,5) 4
(40,4) (40,5) 63
(41,4) (41,5) 14
(42,4) (42,5) 95
(43,4) (43,5) 50
(44,4) (44,5) 3
(45,4) (45,5) 44
(46,4) (46,5) 94
(47,4) (47,5) 12
(48,4) (48,5) 101
(49,4) (49,5) 23
(50,4) (50,5) 27
(51,4) (51,5) 51
(52,4) (52,5) 9
(53,4) (53,5) 65
(54,4) (54,5) 38
(55,4) (55,5) 93
(56,4) (56,5) 40
(57,4) (57,5) 54
(58,4) (58,5) 54
(59,4) (59,5) 107
(60,4) (60,5) 109
(61,4) (61,5) 99
(62,4) (62,5) 150
(63,4) (63,5) 103
(64,4) (64,5) 17
(65,4) (65,5) 29
(66,4) (66,5) 74
(67,4) (67,5) 50
(68,4) (68,5) 115
(69,4) (69,5) 83
(70,4) (70,5) 116
(71,4) (71,5) 116
(72,4) (72,5) 127
(73,4) (73,5) 46
(74,4) (74,5) 71
(75,4) (75,5) 81
(76,4) (76,5) 78
(77,4) (77,5) 144
(78,4) (78,5) 64
(79,4) (79,5) 44
(80,4) (80,5) 135
(81,4) (81,5) 128
(82,4) (82,5) 83
(83,4) (83,5) 139
(84,4) (84,5) 141
(85,4) (85,5) 17
(86,4) (86,5) 29
(87,4) (87,5) 90
(88,4) (88,5) 95
(89,4) (89,5) 84
(90,4) (90,5) 130
(91,4) (91,5) 144
(92,4) (92,5) 61
(93,4) (93,5) 12
(94,4) (94,5) 34
(95,4) (95,5) 122
(96,4) (96,5) 132
(97,4) (97,5) 7
(98,4) (98,5) 15
(99,4) (99,5) 71
(100,4) (100,5) 124
(101,4) (101,5) 55
(102,4) (102,5) 94
(103,4) (103,5) 137
(104,4) (104,5) 51
(105,4) (105,5) 42
(106,4) (106,5) 115
(107,4) (107,5) 15
(108,4) (108,5) 22
(109,4) (109,5) 3
(110,4) (110,5) 64
(111,4) (111,5) 130
(112,4) (112,5) 19
(113,4) (113,5) 27
(114,4) (114,5) 94
(115,4) (115,5) 53
(116,4) (116,5) 68
(117,4) (117,5) 119
(118,4) (118,5) 94
(119,4) (119,5) 42
(120,4) (120,5) 106
(121,4) (121,5) 24
(122,4) (122,5) 5
(123,4) (123,5) 34
(124,4) (124,5) 14
(125,4) (125,5) 144
(126,4) (126,5) 107
(127,4) (127,5) 131
(128,4) (128,5) 33
(129,4) (129,5) 82
(130,4) (130,5) 101
(131,4) (131,5) 103
(132,4) (132,5) 146
(133,4) (133,5) 55
(134,4) (134,5) 68
(135,4) (135,5) 118
(136,4) (136,5) 50
(137,4) (137,5) 94
(138,4) (138,5) 56
(139,4) (139,5) 144
(140,4) (140,5) 99
(141,4) (141,5) 132
(142,4) (142,5) 126
(143,4) (143,5) 62
(144,4) (144,5) 69
(145,4) (145,5) 138
(146,4) (146,5) 88
(147,4) (147,5) 67
(148,4) (148,5) 26
(149,4) (149,5) 136
(150,4) (150,5) 91
(151,4) (151,5) 83
(152,4) (152,5) 147
(153,4) (153,5) 97
(154,4) (154,5) 35
(155,4) (155,5) 11
(156,4) (156,5) 96
(157,4) (157,5) 38
(158,4) (158,5) 21
(159,4) (159,5) 95
(160,4) (160,5) 137
(161,4) (161,5) 57
(162,4) (162,5) 101
(163,4) (163,5) 48
(164,4) (164,5) 123
(165,4) (165,5) 9
(166,4) (166,5) 35
(167,4) (167,5) 133
(168,4) (168,5) 5
(169,4) (169,5) 34
(170,4) (170,5) 138
(1,5) (1,6) 73
(2,5) (2,6) 70
(3,5) (3,6) 8
(4,5) (4,6) 130
(5,5) (5,6) 41
(6,5) (6,6) 20
(7,5) (7,6) 54
(8,5) (8,6) 98
(9,5) (9,6) 118
(10,5) (10,6) 136
(11,5) (11,6) 88
(12,5) (12,6) 143
(13,5) (13,6) 88
(14,5) (14,6) 15
(15,5) (15,6) 75
(16,5) (16,6) 63
(17,5) (17,6) 76
(18,5) (18,6) 72
(19,5) (19,6) 95
(20,5) (20,6) 98
(21,5) (21,6) 38
(22,5) (22,6) 48
(23,5) (23,6) 22
(24,5) (24,6) 89
(25,5) (25,6) 63
(26,5) (26,6) 23
(27,5) (27,6) 15
(28,5) (28,6) 90
(29,5) (29,6) 59
(30,5) (30,6) 96
(31,5) (31,6) 63
(32,5) (32,6) 37
(33,5) (33,6) 122
(34,5) (34,6) 95
(35,5) (35,6) 109
(36,5) (36,6) 70
(37,5) (37,6) 86
(38,5) (38,6) 143
(39,5) (39,6) 4
(40,5) (40,6) 47
(41,5) (41,6) 122
(42,5) (42,6) 95
(43,5) (43,6) 39
(44,5) (44,6) 66
(45,5) (45,6) 106
(46,5) (46,6) 140
(47,5) (47,6) 44
(48,5) (48,6) 8
(49,5) (49,6) 117
(50,5) (50,6) 63
(51,5) (51,6) 73
(52,5) (52,6) 24
(53,5) (53,6) 11
(54,5) (54,6) 33
(55,5) (55,6) 104
(56,5) (56,6) 49
(57,5) (57,6) 149
(58,5) (58,6) 80
(59,5) (59,6) 36
(60,5) (60,6) 141
(61,5) (61,6) 94
(62,5) (62,6) 46
(63,5) (63,6) 122
(64,5) (64,6) 90
(65,5) (65,6) 101
(66,5) (66,6) 62
(67,5) (67,6) 103
(68,5) (68,6) 18
(69,5) (69,6) 37
(70,5) (70,6) 134
(71,5) (71,6) 52
(72,5) (72,6) 86
(73,5) (73,6) 77
(74,5) (74,6) 126
(75,5) (75,6) 130
(76,5) (76,6) 67
(77,5) (77,6) 31
(78,5) (78,6) 45
(79,5) (79,6) 5
(80,5) (80,6) 71
(81,5) (81,6) 32
(82,5) (82,6) 111
(83,5) (83,6) 84
(84,5) (84,6) 98
(85,5) (85,6) 57
(86,5) (86,6) 104
(87,5) (87,6) 92
(88,5) (88,6) 52
(89,5) (89,6) 127
(90,5) (90,6) 58
(91,5) (91,6) 128
(92,5) (92,6) 47
(93,5) (93,6) 108
(94,5) (94,6) 51
(95,5) (95,6) 82
(96,5) (96,6) 77
(97,5) (97,6) 102
(98,5) (98,6) 118
(99,5) (99,6) 28
(100,5) (100,6) 21
(101,5) (101,6) 90
(102,5) (102,6) 6
(103,5) (103,6) 27
(104,5) (104,6) 32
(105,5) (105,6) 45
(106,5) (106,6) 106
(107,5) (107,6) 71
(108,5) (108,6) 102
(109,5) (109,6) 139
(110,5) (110,6) 35
(111,5) (111,6) 47
(112,5) (112,6) 102
(113,5) (113,6) 131
(114,5) (114,6) 40
(115,5) (115,6) 6
(116,5) (116,6) 46
(117,5) (117,6) 97
(118,5) (118,6) 42
(119,5) (119,6) 134
(120,5) (120,6) 128
(121,5) (121,6) 116
(122,5) (122,6) 49
(123,5) (123,6) 27
(124,5) (124,6) 68
(125,5) (125,6) 35
(126,5) (126,6) 41
(127,5) (127,6) 95
(128,5) (128,6) 84
(129,5) (129,6) 91
(130,5) (130,6) 98
(131,5) (131,6) 76
(132,5) (132,6) 33
(133,5) (133,6) 26
(134,5) (134,6) 139
(135,5) (135,6) 68
(136,5) (136,6) 84
(137,5) (137,6) 97
(138,5) (138,6) 35
(139,5) (139,6) 53
(140,5) (140,6) 20
(141,5) (141,6) 87
(142,5) (142,6) 48
(143,5) (143,6) 101
(144,5) (144,6) 16
(145,5) (145,6) 122
(146,5) (146,6) 105
(147,5) (147,6) 112
(148,5) (148,6) 1
(149,5) (149,6) 4
(150,5) (150,6) 122
(151,5) (151,6) 69
(152,5) (152,6) 138
(153,5) (153,6) 88
(154,5) (154,6) 119
(155,5) (155,6) 64
(156,5) (156,6) 58
(157,5) (157,6) 95
(158,5) (158,6) 70
(159,5) (159,6) 10
(160,5) (160,6) 83
(161,5) (161,6) 92
(162,5) (162,6) 66
(163,5) (163,6) 92
(164,5) (164,6) 13
(165,5) (165,6) 93
(166,5) (166,6) 1
(167,5) (167,6) 45
(168,5) (168,6) 3
(169,5) (169,6) 123
(170,5) (170,6) 35
(1,6) (1,7) 8
(2,6) (2,7) 91
(3,6) (3,7) 107
(4,6) (4,7) 15
(5,6) (5,7) 103
(6,6) (6,7) 43
(7,6) (7,7) 50
(8,6) (8,7) 97
(9,6) (9,7) 23
(10,6) (10,7) 53
(11,6) (11,7) 49
(12,6) (12,7) 32
(13,6) (13,7) 100
(14,6) (14,7) 122
(15,6) (15,7) 2
(16,6) (16,7) 123
(17,6) (17,7) 43
(18,6) (18,7) 103
(19,6) (19,7) 95
(20,6) (20,7) 6
(21,6) (21,7) 96
(22,6) (22,7) 94
(23,6) (23,7) 77
(24,6) (24,7) 66
(25,6) (25,7) 15
(26,6) (26,7) 13
(27,6) (27,7) 64
(28,6) (28,7) 107
(29,6) (29,7) 119
(30,6) (30,7) 90
(31,6) (31,7) 100
(32,6) (32,7) 8
(33,6) (33,7) 136
(34,6) (34,7) 29
(35,6) (35,7) 150
(36,6) (36,7) 44
(37,6) (37,7) 44
(38,6) (38,7) 66
(39,6) (39,7) 113
(40,6) (40,7) 81
(41,6) (41,7) 6
(42,6) (42,7) 57
(43,6) (43,7) 69
(44,6) (44,7) 90
(45,6) (45,7) 23
(46,6) (46,7) 119
(47,6) (47,7) 90
(48,6) (48,7) 99
(49,6) (49,7) 56
(50,6) (50,7) 45
(51,6) (51,7) 85
(52,6) (52,7) 111
(53,6) (53,7) 76
(54,6) (54,7) 114
(55,6) (55,7) 15
(56,6) (56,7) 123
(57,6) (57,7) 118
(58,6) (58,7) 76
(59,6) (59,7) 100
(60,6) (60,7) 14
(61,6) (61,7) 27
(62,6) (62,7) 86
(63,6) (63,7) 8
(64,6) (64,7) 4
(65,6) (65,7) 128
(66,6) (66,7) 120
(67,6) (67,7) 21
(68,6) (68,7) 21
(69,6) (69,7) 93
(70,6) (70,7) 87
(71,6) (71,7) 113
(72,6) (72,7) 120
(73,6) (73,7) 59
(74,6) (74,7) 97
(75,6) (75,7) 132
(76,6) (76,7) 115
(77,6) (77,7) 115
(78,6) (78,7) 43
(79,6) (79,7) 126
(80,6) (80,7) 21
(81,6) (81,7) 1
(82,6) (82,7) 70
(83,6) (83,7) 78
(84,6) (84,7) 128
(85,6) (85,7) 132
(86,6) (86,7) 79
(87,6) (87,7) 6
(88,6) (88,7) 8
(89,6) (89,7) 113
(90,6) (90,7) 122
(91,6) (91,7) 137
(92,6) (92,7) 147
(93,6) (93,7) 15
(94,6) (94,7) 54
(95,6) (95,7) 107
(96,6) (96,7) 150
(97,6) (97,7) 66
(98,6) (98,7) 20
(99,6) (99,7) 120
(100,6) (100,7) 17
(101,6) (101,7) 44
(102,6) (102,7) 137
(103,6) (103,7) 68
(104,6) (104,7) 31
(105,6) (105,7) 1
(106,6) (106,7) 37
(107,6) (107,7) 125
(108,6) (108,7) 24
