s (1,1) 113
(10,1) (10,2) 459
(11,1) (11,2) 17
(12,1) (12,2) 111
(13,1) (13,2) 60
(14,1) (14,2) 460
(15,1) (15,2) 38
(16,1) (16,2) 464
(17,1) (17,2) 293
(18,1) (18,2) 168
(19,1) (19,2) 167
(20,1) (20,2) 455
(21,1) (21,2) 273
(22,1) (22,2) 406
(23,1) (23,2) 294
(24,1) (24,2) 66
(25,1) (25,2) 196
(26,1) (26,2) 194
(27,1) (27,2) 9
(28,1) (28,2) 468
(29,1) (29,2) 141
(30,1) (30,2) 215
(31,1) (31,2) 205
(32,1) (32,2) 391
(33,1) (33,2) 37
(34,1) (34,2) 473
(35,1) (35,2) 393
(36,1) (36,2) 93
(37,1) (37,2) 361
(38,1) (38,2) 370
(39,1) (39,2) 295
(40,1) (40,2) 207
(41,1) (41,2) 484
(42,1) (42,2) 150
(43,1) (43,2) 99
(44,1) (44,2) 34
(45,1) (45,2) 217
(46,1) (46,2) 470
(47,1) (47,2) 481
(48,1) (48,2) 362
(49,1) (49,2) 168
(50,1) (50,2) 305
(51,1) (51,2) 314
(52,1) (52,2) 38
(53,1) (53,2) 239
(54,1) (54,2) 23
(55,1) (55,2) 67
(56,1) (56,2) 89
(57,1) (57,2) 447
(58,1) (58,2) 455
(59,1) (59,2) 250
(60,1) (60,2) 495
(61,1) (61,2) 357
(62,1) (62,2) 124
(63,1) (63,2) 253
(64,1) (64,2) 167
(65,1) (65,2) 276
(66,1) (66,2) 37
(67,1) (67,2) 397
(68,1) (68,2) 97
(69,1) (69,2) 5
(70,1) (70,2) 438
(71,1) (71,2) 283
(72,1) (72,2) 61
(73,1) (73,2) 7
(74,1) (74,2) 123
(75,1) (75,2) 323
(76,1) (76,2) 10
(77,1) (77,2) 25
(78,1) (78,2) 303
(79,1) (79,2) 11
(80,1) (80,2) 426
(81,1) (81,2) 365
(82,1) (82,2) 333
(83,1) (83,2) 279
(84,1) (84,2) 479
(85,1) (85,2) 394
(86,1) (86,2) 119
(87,1) (87,2) 240
(88,1) (88,2) 423
(89,1) (89,2) 126
(90,1) (90,2) 441
(91,1) (91,2) 250
(92,1) (92,2) 221
(93,1) (93,2) 498
(94,1) (94,2) 234
(95,1) (95,2) 55
(96,1) (96,2) 319
(97,1) (97,2) 444
(98,1) (98,2) 158
(99,1) (99,2) 425
(100,1) (100,2) 381
(101,1) (101,2) 204
(102,1) (102,2) 419
(103,1) (103,2) 491
(104,1) (104,2) 280
(105,1) (105,2) 411
(106,1) (106,2) 30
(107,1) (107,2) 481
(108,1) (108,2) 208
(109,1) (109,2) 108
(110,1) (110,2) 406
(111,1) (111,2) 282
(112,1) (112,2) 72
(113,1) (113,2) 100
(114,1) (114,2) 309
(115,1) (115,2) 11
(116,1) (116,2) 383
(117,1) (117,2) 306
(118,1) (118,2) 254
(119,1) (119,2) 67
(120,1) (120,2) 60
(121,1) (121,2) 176
(122,1) (122,2) 306
(123,1) (123,2) 393
(124,1) (124,2) 311
(125,1) (125,2) 181
(126,1) (126,2) 408
(127,1) (127,2) 291
(128,1) (128,2) 251
(129,1) (129,2) 3
(130,1) (130,2) 241
(131,1) (131,2) 37
(132,1) (132,2) 49
(133,1) (133,2) 481
(134,1) (134,2) 282
(135,1) (135,2) 474
(136,1) (136,2) 143
(137,1) (137,2) 91
(138,1) (138,2) 103
(139,1) (139,2) 375
(140,1) (140,2) 423
(141,1) (141,2) 79
(142,1) (142,2) 248
(143,1) (143,2) 404
(144,1) (144,2) 99
(145,1) (145,2) 377
(146,1) (146,2) 67
(147,1) (147,2) 206
(148,1) (148,2) 473
(149,1) (149,2) 94
(150,1) (150,2) 9
(1,2) (1,3) 238
(2,2) (2,3) 343
(3,2) (3,3) 213
(4,2) (4,3) 304
(5,2) (5,3) 496
(6,2) (6,3) 468
(7,2) (7,3) 481
(8,2) (8,3) 18
(9,2) (9,3) 437
(10,2) (10,3) 395
(11,2) (11,3) 107
(12,2) (12,3) 20
(13,2) (13,3) 310
(14,2) (14,3) 74
(15,2) (15,3) 197
(16,2) (16,3) 330
(17,2) (17,3) 139
(18,2) (18,3) 444
(19,2) (19,3) 165
(20,2) (20,3) 130
(21,2) (21,3) 263
(22,2) (22,3) 299
(23,2) (23,3) 262
(24,2) (24,3) 432
(25,2) (25,3) 258
(26,2) (26,3) 92
(27,2) (27,3) 25
(28,2) (28,3) 40
(29,2) (29,3) 242
(30,2) (30,3) 257
(31,2) (31,3) 323
(32,2) (32,3) 180
(33,2) (33,3) 286
(34,2) (34,3) 53
(35,2) (35,3) 265
(36,2) (36,3) 85
(37,2) (37,3) 383
(38,2) (38,3) 140
(39,2) (39,3) 312
(40,2) (40,3) 266
(41,2) (41,3) 392
(42,2) (42,3) 62
(43,2) (43,3) 215
(44,2) (44,3) 448
(45,2) (45,3) 268
(46,2) (46,3) 318
(47,2) (47,3) 36
(48,2) (48,3) 432
(49,2) (49,3) 459
(50,2) (50,3) 101
(51,2) (51,3) 237
(52,2) (52,3) 7
(53,2) (53,3) 213
(54,2) (54,3) 101
(55,2) (55,3) 129
(56,2) (56,3) 475
(57,2) (57,3) 369
(58,2) (58,3) 439
(59,2) (59,3) 194
(60,2) (60,3) 384
(61,2) (61,3) 393
(62,2) (62,3) 439
(63,2) (63,3) 404
(64,2) (64,3) 106
(65,2) (65,3) 444
(66,2) (66,3) 454
(67,2) (67,3) 328
(68,2) (68,3) 183
(69,2) (69,3) 253
(70,2) (70,3) 444
(71,2) (71,3) 419
(72,2) (72,3) 177
(73,2) (73,3) 126
(74,2) (74,3) 54
(75,2) (75,3) 144
(76,2) (76,3) 373
(77,2) (77,3) 53
(78,2) (78,3) 387
(79,2) (79,3) 85
(80,2) (80,3) 15
(81,2) (81,3) 34
(82,2) (82,3) 83
(83,2) (83,3) 449
(84,2) (84,3) 82
(85,2) (85,3) 76
(86,2) (86,3) 135
(87,2) (87,3) 51
(88,2) (88,3) 152
(89,2) (89,3) 411
(90,2) (90,3) 484
(91,2) (91,3) 186
(92,2) (92,3) 243
(93,2) (93,3) 295
(94,2) (94,3) 348
(95,2) (95,3) 58
(96,2) (96,3) 272
(97,2) (97,3) 450
(98,2) (98,3) 134
(99,2) (99,3) 362
(100,2) (100,3) 265
(101,2) (101,3) 370
(102,2) (102,3) 247
(103,2) (103,3) 449
(104,2) (104,3) 337
(105,2) (105,3) 177
(106,2) (106,3) 345
(107,2) (107,3) 204
(108,2) (108,3) 231
(109,2) (109,3) 111
(110,2) (110,3) 385
(111,2) (111,3) 125
(112,2) (112,3) 208
(113,2) (113,3) 240
(114,2) (114,3) 249
(115,2) (115,3) 186
(116,2) (116,3) 447
(117,2) (117,3) 136
(118,2) (118,3) 323
(119,2) (119,3) 301
(120,2) (120,3) 452
(121,2) (121,3) 417
(122,2) (122,3) 150
(123,2) (123,3) 496
(124,2) (124,3) 122
(125,2) (125,3) 466
(126,2) (126,3) 147
(127,2) (127,3) 81
(128,2) (128,3) 277
(129,2) (129,3) 413
(130,2) (130,3) 125
(131,2) (131,3) 308
(132,2) (132,3) 362
(133,2) (133,3) 174
(134,2) (134,3) 269
(135,2) (135,3) 420
(136,2) (136,3) 110
(137,2) (137,3) 159
(138,2) (138,3) 68
(139,2) (139,3) 236
(140,2) (140,3) 463
(141,2) (141,3) 198
(142,2) (142,3) 146
(143,2) (143,3) 304
(144,2) (144,3) 267
(145,2) (145,3) 469
(146,2) (146,3) 261
(147,2) (147,3) 445
(148,2) (148,3) 446
(149,2) (149,3) 446
(150,2) (150,3) 249
(1,3) (1,4) 198
(2,3) (2,4) 63
(3,3) (3,4) 426
(4,3) (4,4) 290
(5,3) (5,4) 484
(6,3) (6,4) 131
(7,3) (7,4) 301
(8,3) (8,4) 416
(9,3) (9,4) 245
(10,3) (10,4) 378
(11,3) (11,4) 209
(12,3) (12,4) 146
(13,3) (13,4) 21
(14,3) (14,4) 192
(15,3) (15,4) 306
(16,3) (16,4) 175
(17,3) (17,4) 29
(18,3) (18,4) 459
(19,3) (19,4) 466
(20,3) (20,4) 218
(21,3) (21,4) 45
(22,3) (22,4) 103
(23,3) (23,4) 217
(24,3) (24,4) 272
(25,3) (25,4) 337
(26,3) (26,4) 387
(27,3) (27,4) 453
(28,3) (28,4) 21
(29,3) (29,4) 169
(30,3) (30,4) 412
(31,3) (31,4) 485
(32,3) (32,4) 283
(33,3) (33,4) 231
(34,3) (34,4) 464
(35,3) (35,4) 336
(36,3) (36,4) 208
(37,3) (37,4) 302
(38,3) (38,4) 107
(39,3) (39,4) 413
(40,3) (40,4) 36
(41,3) (41,4) 133
(42,3) (42,4) 122
(43,3) (43,4) 306
(44,3) (44,4) 150
(45,3) (45,4) 213
(46,3) (46,4) 370
(47,3) (47,4) 146
(48,3) (48,4) 291
(49,3) (49,4) 71
(50,3) (50,4) 341
(51,3) (51,4) 211
(52,3) (52,4) 121
(53,3) (53,4) 6
(54,3) (54,4) 64
(55,3) (55,4) 424
(56,3) (56,4) 355
(57,3) (57,4) 317
(58,3) (58,4) 44
(59,3) (59,4) 476
(60,3) (60,4) 258
(61,3) (61,4) 462
(62,3) (62,4) 187
(63,3) (63,4) 398
(64,3) (64,4) 287
(65,3) (65,4) 268
(66,3) (66,4) 443
(67,3) (67,4) 230
(68,3) (68,4) 260
(69,3) (69,4) 75
(70,3) (70,4) 455
(71,3) (71,4) 92
(72,3) (72,4) 361
(73,3) (73,4) 258
(74,3) (74,4) 126
(75,3) (75,4) 163
(76,3) (76,4) 117
(77,3) (77,4) 384
(78,3) (78,4) 147
(79,3) (79,4) 376
(80,3) (80,4) 27
(81,3) (81,4) 19
(82,3) (82,4) 487
(83,3) (83,4) 86
(84,3) (84,4) 155
(85,3) (85,4) 431
(86,3) (86,4) 259
(87,3) (87,4) 48
(88,3) (88,4) 225
(89,3) (89,4) 64
(90,3) (90,4) 443
(91,3) (91,4) 226
(92,3) (92,4) 364
(93,3) (93,4) 336
(94,3) (94,4) 252
(95,3) (95,4) 72
(96,3) (96,4) 360
(97,3) (97,4) 184
(98,3) (98,4) 421
(99,3) (99,4) 427
(100,3) (100,4) 482
(101,3) (101,4) 353
(102,3) (102,4) 393
(103,3) (103,4) 426
(104,3) (104,4) 262
(105,3) (105,4) 427
(106,3) (106,4) 205
(107,3) (107,4) 206
(108,3) (108,4) 263
(109,3) (109,4) 314
(110,3) (110,4) 81
(111,3) (111,4) 47
(112,3) (112,4) 211
(113,3) (113,4) 129
(114,3) (114,4) 94
(115,3) (115,4) 59
(116,3) (116,4) 241
(117,3) (117,4) 28
(118,3) (118,4) 482
(119,3) (119,4) 56
(120,3) (120,4) 32
(121,3) (121,4) 493
(122,3) (122,4) 416
(123,3) (123,4) 91
(124,3) (124,4) 222
(125,3) (125,4) 263
(126,3) (126,4) 171
(127,3) (127,4) 423
(128,3) (128,4) 7
(129,3) (129,4) 84
(130,3) (130,4) 14
(131,3) (131,4) 53
(132,3) (132,4) 181
(133,3) (133,4) 494
(134,3) (134,4) 399
(135,3) (135,4) 378
(136,3) (136,4) 316
(137,3) (137,4) 485
(138,3) (138,4) 204
(139,3) (139,4) 278
(140,3) (140,4) 259
(141,3) (141,4) 455
(142,3) (142,4) 367
(143,3) (143,4) 376
(144,3) (144,4) 13
(145,3) (145,4) 313
(146,3) (146,4) 330
(147,3) (147,4) 410
(148,3) (148,4) 107
(149,3) (149,4) 285
(150,3) (150,4) 51
(1,4) (1,5) 265
(2,4) (2,5) 55
(3,4) (3,5) 9
(4,4) (4,5) 450
(5,4) (5,5) 334
(6,4) (6,5) 314
(7,4) (7,5) 356
(8,4) (8,5) 289
(9,4) (9,5) 488
(10,4) (10,5) 14
(11,4) (11,5) 344
(12,4) (12,5) 477
(13,4) (13,5) 410
(14,4) (14,5) 22
(15,4) (15,5) 309
(16,4) (16,5) 287
(17,4) (17,5) 320
(18,4) (18,5) 393
(19,4) (19,5) 248
(20,4) (20,5) 270
(21,4) (21,5) 206
(22,4) (22,5) 290
(23,4) (23,5) 476
(24,4) (24,5) 165
(25,4) (25,5) 5
(26,4) (26,5) 375
(27,4) (27,5) 78
(28,4) (28,5) 429
(29,4) (29,5) 487
(30,4) (30,5) 236
(31,4) (31,5) 63
(32,4) (32,5) 68
(33,4) (33,5) 446
(34,4) (34,5) 314
(35,4) (35,5) 172
(36,4) (36,5) 113
(37,4) (37,5) 365
(38,4) (38,5) 346
(39,4) (39,5) 293
(40,4) (40,5) 324
(41,4) (41,5) 366
(42,4) (42,5) 472
(43,4) (43,5) 396
(44,4) (44,5) 263
(45,4) (45,5) 160
(46,4) (46,5) 17
(47,4) (47,5) 26
(48,4) (48,5) 158
(49,4) (49,5) 89
(50,4) (50,5) 56
(51,4) (51,5) 275
(52,4) (52,5) 88
(53,4) (53,5) 428
(54,4) (54,5) 344
(55,4) (55,5) 463
(56,4) (56,5) 183
(57,4) (57,5) 470
(58,4) (58,5) 140
(59,4) (59,5) 140
(60,4) (60,5) 58
(61,4) (61,5) 154
(62,4) (62,5) 362
(63,4) (63,5) 328
(64,4) (64,5) 259
(65,4) (65,5) 239
(66,4) (66,5) 86
(67,4) (67,5) 185
(68,4) (68,5) 495
(69,4) (69,5) 438
(70,4) (70,5) 403
(71,4) (71,5) 84
(72,4) (72,5) 177
(73,4) (73,5) 66
(74,4) (74,5) 294
(75,4) (75,5) 75
(76,4) (76,5) 47
(77,4) (77,5) 225
(78,4) (78,5) 214
(79,4) (79,5) 249
(80,4) (80,5) 261
(81,4) (81,5) 144
(82,4) (82,5) 109
(83,4) (83,5) 24
(84,4) (84,5) 94
(85,4) (85,5) 142
(86,4) (86,5) 285
(87,4) (87,5) 466
(88,4) (88,5) 361
(89,4) (89,5) 341
(90,4) (90,5) 397
(91,4) (91,5) 493
(92,4) (92,5) 163
(93,4) (93,5) 367
(94,4) (94,5) 247
(95,4) (95,5) 122
(96,4) (96,5) 358
(97,4) (97,5) 453
(98,4) (98,5) 169
(99,4) (99,5) 421
(100,4) (100,5) 57
(101,4) (101,5) 214
(102,4) (102,5) 396
(103,4) (103,5) 276
(104,4) (104,5) 209
(105,4) (105,5) 163
(106,4) (106,5) 221
(107,4) (107,5) 469
(108,4) (108,5) 74
(109,4) (109,5) 298
(110,4) (110,5) 328
(111,4) (111,5) 446
(112,4) (112,5) 271
(113,4) (113,5) 381
(114,4) (114,5) 452
(115,4) (115,5) 240
(116,4) (116,5) 351
(117,4) (117,5) 289
(118,4) (118,5) 345
(119,4) (119,5) 304
(120,4) (120,5) 111
(121,4) (121,5) 337
(122,4) (122,5) 288
(123,4) (123,5) 403
(124,4) (124,5) 4
(125,4) (125,5) 329
(126,4) (126,5) 200
(127,4) (127,5) 256
(128,4) (128,5) 71
(129,4) (129,5) 19
(130,4) (130,5) 290
(131,4) (131,5) 300
(132,4) (132,5) 50
(133,4) (133,5) 173
(134,4) (134,5) 111
(135,4) (135,5) 37
(136,4) (136,5) 226
(137,4) (137,5) 249
(138,4) (138,5) 254
(139,4) (139,5) 480
(140,4) (140,5) 359
(141,4) (141,5) 207
(142,4) (142,5) 389
(143,4) (143,5) 106
(144,4) (144,5) 363
(145,4) (145,5) 421
(146,4) (146,5) 130
(147,4) (147,5) 206
(148,4) (148,5) 227
(149,4) (149,5) 205
(150,4) (150,5) 267
(1,5) (1,6) 365
(2,5) (2,6) 397
(3,5) (3,6) 291
(4,5) (4,6) 419
(5,5) (5,6) 335
(6,5) (6,6) 418
(7,5) (7,6) 242
(8,5) (8,6) 24
(9,5) (9,6) 206
(10,5) (10,6) 212
(11,5) (11,6) 246
(12,5) (12,6) 358
(13,5) (13,6) 465
(14,5) (14,6) 235
(15,5) (15,6) 51
(16,5) (16,6) 50
(17,5) (17,6) 263
(18,5) (18,6) 394
(19,5) (19,6) 401
(20,5) (20,6) 388
(21,5) (21,6) 378
(22,5) (22,6) 175
(23,5) (23,6) 44
(24,5) (24,6) 175
(25,5) (25,6) 271
(26,5) (26,6) 71
(27,5) (27,6) 492
(28,5) (28,6) 302
(29,5) (29,6) 232
(30,5) (30,6) 359
(31,5) (31,6) 62
(32,5) (32,6) 316
(33,5) (33,6) 26
(34,5) (34,6) 75
(35,5) (35,6) 253
(36,5) (36,6) 138
(37,5) (37,6) 408
(38,5) (38,6) 197
(39,5) (39,6) 16
(40,5) (40,6) 165
(41,5) (41,6) 128
(42,5) (42,6) 495
(43,5) (43,6) 409
(44,5) (44,6) 147
(45,5) (45,6) 169
(46,5) (46,6) 419
(47,5) (47,6) 192
(48,5) (48,6) 358
(49,5) (49,6) 127
(50,5) (50,6) 291
(51,5) (51,6) 138
(52,5) (52,6) 292
(53,5) (53,6) 431
(54,5) (54,6) 245
(55,5) (55,6) 177
(56,5) (56,6) 355
(57,5) (57,6) 487
(58,5) (58,6) 301
(59,5) (59,6) 288
(60,5) (60,6) 296
(61,5) (61,6) 435
(62,5) (62,6) 323
(63,5) (63,6) 412
(64,5) (64,6) 176
(65,5) (65,6) 349
(66,5) (66,6) 445
(67,5) (67,6) 479
(68,5) (68,6) 355
(69,5) (69,6) 227
(70,5) (70,6) 20
(71,5) (71,6) 436
(72,5) (72,6) 493
(73,5) (73,6) 103
(74,5) (74,6) 127
(75,5) (75,6) 160
(76,5) (76,6) 84
(77,5) (77,6) 431
(78,5) (78,6) 347
(79,5) (79,6) 308
(80,5) (80,6) 359
(81,5) (81,6) 411
(82,5) (82,6) 211
(83,5) (83,6) 145
(84,5) (84,6) 392
(85,5) (85,6) 473
(86,5) (86,6) 350
(87,5) (87,6) 373
(88,5) (88,6) 268
(89,5) (89,6) 325
(90,5) (90,6) 87
(91,5) (91,6) 375
(92,5) (92,6) 177
(93,5) (93,6) 62
(94,5) (94,6) 354
(95,5) (95,6) 183
(96,5) (96,6) 419
(97,5) (97,6) 356
(98,5) (98,6) 375
(99,5) (99,6) 324
(100,5) (100,6) 156
(101,5) (101,6) 468
(102,5) (102,6) 243
(103,5) (103,6) 46
(104,5) (104,6) 157
(105,5) (105,6) 281
(106,5) (106,6) 15
(107,5) (107,6) 312
(108,5) (108,6) 457
(109,5) (109,6) 189
(110,5) (110,6) 226
(111,5) (111,6) 99
(112,5) (112,6) 168
(113,5) (113,6) 457
(114,5) (114,6) 85
(115,5) (115,6) 389
(116,5) (116,6) 238
(117,5) (117,6) 474
(118,5) (118,6) 365
(119,5) (119,6) 438
(120,5) (120,6) 280
(121,5) (121,6) 25
(122,5) (122,6) 384
(123,5) (123,6) 413
(124,5) (124,6) 264
(125,5) (125,6) 334
(126,5) (126,6) 108
(127,5) (127,6) 131
(128,5) (128,6) 180
(129,5) (129,6) 182
(130,5) (130,6) 361
(131,5) (131,6) 168
(132,5) (132,6) 384
(133,5) (133,6) 38
(134,5) (134,6) 184
(135,5) (135,6) 167
(136,5) (136,6) 57
(137,5) (137,6) 300
(138,5) (138,6) 141
(139,5) (139,6) 380
(140,5) (140,6) 187
(141,5) (141,6) 492
(142,5) (142,6) 418
(143,5) (143,6) 393
(144,5) (144,6) 315
(145,5) (145,6) 112
(146,5) (146,6) 260
(147,5) (147,6) 207
(148,5) (148,6) 438
(149,5) (149,6) 494
(150,5) (150,6) 303
(1,6) (1,7) 91
(2,6) (2,7) 53
(3,6) (3,7) 163
(4,6) (4,7) 28
(5,6) (5,7) 389
(6,6) (6,7) 261
(7,6) (7,7) 99
(8,6) (8,7) 434
(9,6) (9,7) 279
(10,6) (10,7) 32
(11,6) (11,7) 306
(12,6) (12,7) 67
(13,6) (13,7) 384
(14,6) (14,7) 259
(15,6) (15,7) 462
(16,6) (16,7) 276
(17,6) (17,7) 397
(18,6) (18,7) 472
(19,6) (19,7) 39
(20,6) (20,7) 68
(21,6) (21,7) 285
(22,6) (22,7) 24
(23,6) (23,7) 15
(24,6) (24,7) 391
(25,6) (25,7) 405
(26,6) (26,7) 394
(27,6) (27,7) 404
(28,6) (28,7) 170
(29,6) (29,7) 321
(30,6) (30,7) 314
(31,6) (31,7) 63
(32,6) (32,7) 380
(33,6) (33,7) 283
(34,6) (34,7) 248
(35,6) (35,7) 136
(36,6) (36,7) 314
(37,6) (37,7) 307
(38,6) (38,7) 317
(39,6) (39,7) 296
(40,6) (40,7) 128
(41,6) (41,7) 281
(42,6) (42,7) 267
(43,6) (43,7) 63
(44,6) (44,7) 21
(45,6) (45,7) 299
(46,6) (46,7) 106
(47,6) (47,7) 20
(48,6) (48,7) 65
(49,6) (49,7) 8
(50,6) (50,7) 152
(51,6) (51,7) 54
(52,6) (52,7) 32
(53,6) (53,7) 418
(54,6) (54,7) 451
(55,6) (55,7) 288
(56,6) (56,7) 2
(57,6) (57,7) 241
(58,6) (58,7) 178
(59,6) (59,7) 481
(60,6) (60,7) 325
(61,6) (61,7) 294
(62,6) (62,7) 328
(63,6) (63,7) 371
(64,6) (64,7) 47
(65,6) (65,7) 371
(66,6) (66,7) 13
(67,6) (67,7) 466
(68,6) (68,7) 348
(69,6) (69,7) 344
(70,6) (70,7) 322
(71,6) (71,7) 330
(72,6) (72,7) 405
(73,6) (73,7) 299
(74,6) (74,7) 193
(75,6) (75,7) 118
(76,6) (76,7) 219
(77,6) (77,7) 149
(78,6) (78,7) 420
(79,6) (79,7) 19
(80,6) (80,7) 419
(81,6) (81,7) 250
(82,6) (82,7) 71
(83,6) (83,7) 301
(84,6) (84,7) 224
(85,6) (85,7) 56
(86,6) (86,7) 497
(87,6) (87,7) 64
(88,6) (88,7) 351
(89,6) (89,7) 87
(90,6) (90,7) 203
(91,6) (91,7) 67
(92,6) (92,7) 411
(93,6) (93,7) 199
(94,6) (94,7) 195
(95,6) (95,7) 34
(96,6) (96,7) 440
(97,6) (97,7) 372
(98,6) (98,7) 319
(99,6) (99,7) 487
(100,6) (100,7) 217
(101,6) (101,7) 311
(102,6) (102,7) 331
(103,6) (103,7) 213
(104,6) (104,7) 450
(105,6) (105,7) 131
(106,6) (106,7) 322
(107,6) (107,7) 444
(108,6) (108,7) 478
(109,6) (109,7) 175
(110,6) (110,7) 273
(111,6) (111,7) 472
(112,6) (112,7) 185
(113,6) (113,7) 2
(114,6) (114,7) 450
(115,6) (115,7) 88
(116,6) (116,7) 246
(117,6) (117,7) 265
(118,6) (118,7) 84
(119,6) (119,7) 354
(120,6) (120,7) 385
(121,6) (121,7) 393
(122,6) (122,7) 124
(123,6) (123,7) 371
(124,6) (124,7) 463
(125,6) (125,7) 274
(126,6) (126,7) 139
(127,6) (127,7) 150
(128,6) (128,7) 348
(129,6) (129,7) 368
(130,6) (130,7) 3
(131,6) (131,7) 286
(132,6) (132,7) 121
(133,6) (133,7) 125
(134,6) (134,7) 245
(135,6) (135,7) 468
(136,6) (136,7) 86
(137,6) (137,7) 291
(138,6) (138,7) 385
(139,6) (139,7) 354
(140,6) (140,7) 376
(141,6) (141,7) 352
(142,6) (142,7) 150
(143,6) (143,7) 254
(144,6) (144,7) 260
(145,6) (145,7) 308
(146,6) (146,7) 441
(147,6) (147,7) 172
(148,6) (148,7) 253
(149,6) (149,7) 308
(150,6) (150,7) 227
(1,7) (1,8) 424
(2,7) (2,8) 40
(3,7) (3,8) 385
(4,7) (4,8) 330
(5,7) (5,8) 175
(6,7) (6,8) 145
(7,7) (7,8) 367
(8,7) (8,8) 105
(9,7) (9,8) 449
(10,7) (10,8) 243
(11,7) (11,8) 264
(12,7) (12,8) 58
(13,7) (13,8) 83
(14,7) (14,8) 108
(15,7) (15,8) 45
(16,7) (16,8) 261
(17,7) (17,8) 84
(18,7) (18,8) 378
(19,7) (19,8) 376
(20,7) (20,8) 483
(21,7) (21,8) 18
(22,7) (22,8) 26
(23,7) (23,8) 121
(24,7) (24,8) 118
(25,7) (25,8) 411
(26,7) (26,8) 208
(27,7) (27,8) 387
(28,7) (28,8) 107
(29,7) (29,8) 171
(30,7) (30,8) 421
(31,7) (31,8) 402
(32,7) (32,8) 202
(33,7) (33,8) 203
(34,7) (34,8) 461
(35,7) (35,8) 276
(36,7) (36,8) 45
(37,7) (37,8) 33
(38,7) (38,8) 444
(39,7) (39,8) 185
(40,7) (40,8) 360
(41,7) (41,8) 475
(42,7) (42,8) 184
(43,7) (43,8) 224
(44,7) (44,8) 421
(45,7) (45,8) 466
(46,7) (46,8) 370
(47,7) (47,8) 11
(48,7) (48,8) 8
(49,7) (49,8) 245
(50,7) (50,8) 38
(51,7) (51,8) 410
(52,7) (52,8) 60
(53,7) (53,8) 262
(54,7) (54,8) 468
(55,7) (55,8) 213
(56,7) (56,8) 489
(57,7) (57,8) 313
(58,7) (58,8) 439
(59,7) (59,8) 285
(60,7) (60,8) 245
(61,7) (61,8) 279
(62,7) (62,8) 218
(63,7) (63,8) 117
(64,7) (64,8) 229
(65,7) (65,8) 66
(66,7) (66,8) 256
(67,7) (67,8) 162
(68,7) (68,8) 485
(69,7) (69,8) 380
(70,7) (70,8) 338
(71,7) (71,8) 352
(72,7) (72,8) 300
