s (1,1) 62
s (132,1) 119
s (133,1) 189
s (134,1) 126
s (135,1) 10
s (136,1) 4
s (137,1) 139
s (138,1) 484
s (139,1) 407
s (140,1) 224
s (141,1) 207
s (142,1) 411
s (143,1) 19
s (144,1) 421
s (145,1) 396
s (146,1) 451
s (147,1) 111
s (148,1) 161
s (149,1) 10
s (150,1) 485
s (151,1) 285
s (152,1) 36
s (153,1) 394
s (154,1) 21
s (155,1) 203
s (156,1) 342
s (157,1) 46
s (158,1) 494
s (159,1) 463
s (160,1) 340
s (161,1) 374
s (162,1) 127
s (163,1) 280
s (164,1) 394
s (165,1) 66
s (166,1) 465
s (167,1) 174
s (168,1) 308
s (169,1) 204
s (170,1) 44
s (171,1) 202
s (172,1) 350
s (173,1) 130
s (174,1) 74
s (175,1) 425
s (176,1) 334
s (177,1) 429
s (178,1) 18
s (179,1) 152
s (180,1) 372
s (181,1) 169
s (182,1) 442
s (183,1) 154
s (184,1) 314
s (185,1) 241
s (186,1) 398
s (187,1) 113
s (188,1) 226
s (189,1) 335
s (190,1) 370
(1,1) (1,2) 83
(2,1) (2,2) 222
(3,1) (3,2) 329
(4,1) (4,2) 254
(5,1) (5,2) 52
(6,1) (6,2) 254
(7,1) (7,2) 315
(8,1) (8,2) 160
(9,1) (9,2) 473
(10,1) (10,2) 216
(11,1) (11,2) 417
(12,1) (12,2) 482
(13,1) (13,2) 37
(14,1) (14,2) 161
(15,1) (15,2) 214
(16,1) (16,2) 247
(17,1) (17,2) 88
(18,1) (18,2) 36
(19,1) (19,2) 407
(20,1) (20,2) 21
(21,1) (21,2) 144
(22,1) (22,2) 342
(23,1) (23,2) 486
(24,1) (24,2) 430
(25,1) (25,2) 236
(26,1) (26,2) 365
(27,1) (27,2) 46
(28,1) (28,2) 500
(29,1) (29,2) 257
(30,1) (30,2) 189
(31,1) (31,2) 91
(32,1) (32,2) 29
(33,1) (33,2) 385
(34,1) (34,2) 469
(35,1) (35,2) 399
(36,1) (36,2) 279
(37,1) (37,2) 86
(38,1) (38,2) 134
(39,1) (39,2) 396
(40,1) (40,2) 361
(41,1) (41,2) 283
(42,1) (42,2) 355
(43,1) (43,2) 374
(44,1) (44,2) 188
(45,1) (45,2) 302
(46,1) (46,2) 209
(47,1) (47,2) 478
(48,1) (48,2) 178
(49,1) (49,2) 178
(50,1) (50,2) 218
(51,1) (51,2) 482
(52,1) (52,2) 489
(53,1) (53,2) 2
(54,1) (54,2) 338
(55,1) (55,2) 240
(56,1) (56,2) 472
(57,1) (57,2) 391
(58,1) (58,2) 229
(59,1) (59,2) 496
(60,1) (60,2) 143
(61,1) (61,2) 102
(62,1) (62,2) 64
(63,1) (63,2) 269
(64,1) (64,2) 224
(65,1) (65,2) 257
(66,1) (66,2) 315
(67,1) (67,2) 420
(68,1) (68,2) 239
(69,1) (69,2) 379
(70,1) (70,2) 87
(71,1) (71,2) 124
(72,1) (72,2) 38
(73,1) (73,2) 360
(74,1) (74,2) 194
(75,1) (75,2) 244
(76,1) (76,2) 102
(77,1) (77,2) 103
(78,1) (78,2) 96
(79,1) (79,2) 295
(80,1) (80,2) 359
(81,1) (81,2) 29
(82,1) (82,2) 168
(83,1) (83,2) 42
(84,1) (84,2) 442
(85,1) (85,2) 323
(86,1) (86,2) 105
(87,1) (87,2) 75
(88,1) (88,2) 233
(89,1) (89,2) 319
(90,1) (90,2) 151
(91,1) (91,2) 1
(92,1) (92,2) 48
(93,1) (93,2) 196
(94,1) (94,2) 435
(95,1) (95,2) 277
(96,1) (96,2) 232
(97,1) (97,2) 202
(98,1) (98,2) 450
(99,1) (99,2) 380
(100,1) (100,2) 233
(101,1) (101,2) 342
(102,1) (102,2) 357
(103,1) (103,2) 496
(104,1) (104,2) 413
(105,1) (105,2) 396
(106,1) (106,2) 107
(107,1) (107,2) 5
(108,1) (108,2) 151
(109,1) (109,2) 212
(110,1) (110,2) 408
(111,1) (111,2) 412
(112,1) (112,2) 465
(113,1) (113,2) 330
(114,1) (114,2) 7
(115,1) (115,2) 382
(116,1) (116,2) 215
(117,1) (117,2) 453
(118,1) (118,2) 58
(119,1) (119,2) 232
(120,1) (120,2) 146
(121,1) (121,2) 467
(122,1) (122,2) 381
(123,1) (123,2) 292
(124,1) (124,2) 434
(125,1) (125,2) 363
(126,1) (126,2) 477
(127,1) (127,2) 256
(128,1) (128,2) 43
(129,1) (129,2) 66
(130,1) (130,2) 392
(131,1) (131,2) 118
(132,1) (132,2) 362
(133,1) (133,2) 195
(134,1) (134,2) 179
(135,1) (135,2) 319
(136,1) (136,2) 64
(137,1) (137,2) 142
(138,1) (138,2) 496
(139,1) (139,2) 206
(140,1) (140,2) 83
(141,1) (141,2) 439
(142,1) (142,2) 297
(143,1) (143,2) 150
(144,1) (144,2) 490
(145,1) (145,2) 24
(146,1) (146,2) 381
(147,1) (147,2) 76
(148,1) (148,2) 180
(149,1) (149,2) 351
(150,1) (150,2) 322
(151,1) (151,2) 443
(152,1) (152,2) 213
(153,1) (153,2) 385
(154,1) (154,2) 409
(155,1) (155,2) 457
(156,1) (156,2) 109
(157,1) (157,2) 376
(158,1) (158,2) 475
(159,1) (159,2) 34
(160,1) (160,2) 218
(161,1) (161,2) 227
(162,1) (162,2) 28
(163,1) (163,2) 320
(164,1) (164,2) 29
(165,1) (165,2) 239
(166,1) (166,2) 278
(167,1) (167,2) 386
(168,1) (168,2) 4
(169,1) (169,2) 39
(170,1) (170,2) 367
(171,1) (171,2) 395
(172,1) (172,2) 239
(173,1) (173,2) 306
(174,1) (174,2) 272
(175,1) (175,2) 128
(176,1) (176,2) 93
(177,1) (177,2) 370
(178,1) (178,2) 76
(179,1) (179,2) 359
(180,1) (180,2) 78
(181,1) (181,2) 329
(182,1) (182,2) 133
(183,1) (183,2) 131
(184,1) (184,2) 371
(185,1) (185,2) 171
(186,1) (186,2) 454
(187,1) (187,2) 227
(188,1) (188,2) 466
(189,1) (189,2) 222
(190,1) (190,2) 132
(1,2) (1,3) 46
(2,2) (2,3) 221
(3,2) (3,3) 22
(4,2) (4,3) 418
(5,2) (5,3) 49
(6,2) (6,3) 414
(7,2) (7,3) 101
(8,2) (8,3) 50
(9,2) (9,3) 305
(10,2) (10,3) 309
(11,2) (11,3) 207
(12,2) (12,3) 154
(13,2) (13,3) 293
(14,2) (14,3) 162
(15,2) (15,3) 496
(16,2) (16,3) 345
(17,2) (17,3) 371
(18,2) (18,3) 89
(19,2) (19,3) 115
(20,2) (20,3) 319
(21,2) (21,3) 363
(22,2) (22,3) 76
(23,2) (23,3) 307
(24,2) (24,3) 358
(25,2) (25,3) 332
(26,2) (26,3) 172
(27,2) (27,3) 318
(28,2) (28,3) 16
(29,2) (29,3) 288
(30,2) (30,3) 376
(31,2) (31,3) 37
(32,2) (32,3) 190
(33,2) (33,3) 81
(34,2) (34,3) 100
(35,2) (35,3) 42
(36,2) (36,3) 391
(37,2) (37,3) 337
(38,2) (38,3) 274
(39,2) (39,3) 13
(40,2) (40,3) 126
(41,2) (41,3) 166
(42,2) (42,3) 283
(43,2) (43,3) 274
(44,2) (44,3) 200
(45,2) (45,3) 118
(46,2) (46,3) 4
(47,2) (47,3) 385
(48,2) (48,3) 360
(49,2) (49,3) 351
(50,2) (50,3) 327
(51,2) (51,3) 236
(52,2) (52,3) 354
(53,2) (53,3) 72
(54,2) (54,3) 202
(55,2) (55,3) 230
(56,2) (56,3) 55
(57,2) (57,3) 159
(58,2) (58,3) 264
(59,2) (59,3) 241
(60,2) (60,3) 451
(61,2) (61,3) 135
(62,2) (62,3) 496
(63,2) (63,3) 410
(64,2) (64,3) 391
(65,2) (65,3) 170
(66,2) (66,3) 23
(67,2) (67,3) 161
(68,2) (68,3) 333
(69,2) (69,3) 260
(70,2) (70,3) 356
(71,2) (71,3) 119
(72,2) (72,3) 479
(73,2) (73,3) 376
(74,2) (74,3) 90
(75,2) (75,3) 88
(76,2) (76,3) 241
(77,2) (77,3) 419
(78,2) (78,3) 474
(79,2) (79,3) 62
(80,2) (80,3) 288
(81,2) (81,3) 442
(82,2) (82,3) 440
(83,2) (83,3) 441
(84,2) (84,3) 473
(85,2) (85,3) 66
(86,2) (86,3) 301
(87,2) (87,3) 57
(88,2) (88,3) 193
(89,2) (89,3) 412
(90,2) (90,3) 47
(91,2) (91,3) 166
(92,2) (92,3) 415
(93,2) (93,3) 420
(94,2) (94,3) 81
(95,2) (95,3) 255
(96,2) (96,3) 331
(97,2) (97,3) 473
(98,2) (98,3) 341
(99,2) (99,3) 469
(100,2) (100,3) 430
(101,2) (101,3) 214
(102,2) (102,3) 308
(103,2) (103,3) 404
(104,2) (104,3) 164
(105,2) (105,3) 313
(106,2) (106,3) 270
(107,2) (107,3) 60
(108,2) (108,3) 186
(109,2) (109,3) 261
(110,2) (110,3) 19
(111,2) (111,3) 86
(112,2) (112,3) 186
(113,2) (113,3) 435
(114,2) (114,3) 130
(115,2) (115,3) 225
(116,2) (116,3) 404
(117,2) (117,3) 193
(118,2) (118,3) 100
(119,2) (119,3) 101
(120,2) (120,3) 111
(121,2) (121,3) 398
(122,2) (122,3) 293
(123,2) (123,3) 143
(124,2) (124,3) 148
(125,2) (125,3) 439
(126,2) (126,3) 136
(127,2) (127,3) 326
(128,2) (128,3) 27
(129,2) (129,3) 460
(130,2) (130,3) 216
(131,2) (131,3) 55
(132,2) (132,3) 445
(133,2) (133,3) 235
(134,2) (134,3) 167
(135,2) (135,3) 263
(136,2) (136,3) 51
(137,2) (137,3) 213
(138,2) (138,3) 426
(139,2) (139,3) 487
(140,2) (140,3) 257
(141,2) (141,3) 390
(142,2) (142,3) 112
(143,2) (143,3) 17
(144,2) (144,3) 26
(145,2) (145,3) 96
(146,2) (146,3) 338
(147,2) (147,3) 454
(148,2) (148,3) 159
(149,2) (149,3) 85
(150,2) (150,3) 28
(151,2) (151,3) 12
(152,2) (152,3) 331
(153,2) (153,3) 366
(154,2) (154,3) 329
(155,2) (155,3) 73
(156,2) (156,3) 55
(157,2) (157,3) 252
(158,2) (158,3) 388
(159,2) (159,3) 419
(160,2) (160,3) 215
(161,2) (161,3) 224
(162,2) (162,3) 378
(163,2) (163,3) 307
(164,2) (164,3) 154
(165,2) (165,3) 315
(166,2) (166,3) 393
(167,2) (167,3) 380
(168,2) (168,3) 334
(169,2) (169,3) 477
(170,2) (170,3) 300
(171,2) (171,3) 57
(172,2) (172,3) 180
(173,2) (173,3) 140
(174,2) (174,3) 64
(175,2) (175,3) 352
(176,2) (176,3) 243
(177,2) (177,3) 385
(178,2) (178,3) 292
(179,2) (179,3) 398
(180,2) (180,3) 443
(181,2) (181,3) 490
(182,2) (182,3) 212
(183,2) (183,3) 244
(184,2) (184,3) 18
(185,2) (185,3) 163
(186,2) (186,3) 169
(187,2) (187,3) 416
(188,2) (188,3) 235
(189,2) (189,3) 447
(190,2) (190,3) 357
(1,3) (1,4) 324
(2,3) (2,4) 391
(3,3) (3,4) 52
(4,3) (4,4) 233
(5,3) (5,4) 476
(6,3) (6,4) 325
(7,3) (7,4) 263
(8,3) (8,4) 465
(9,3) (9,4) 360
(10,3) (10,4) 333
(11,3) (11,4) 193
(12,3) (12,4) 491
(13,3) (13,4) 481
(14,3) (14,4) 374
(15,3) (15,4) 397
(16,3) (16,4) 296
(17,3) (17,4) 465
(18,3) (18,4) 198
(19,3) (19,4) 191
(20,3) (20,4) 344
(21,3) (21,4) 338
(22,3) (22,4) 315
(23,3) (23,4) 413
(24,3) (24,4) 305
(25,3) (25,4) 364
(26,3) (26,4) 99
(27,3) (27,4) 26
(28,3) (28,4) 183
(29,3) (29,4) 235
(30,3) (30,4) 420
(31,3) (31,4) 444
(32,3) (32,4) 324
(33,3) (33,4) 447
(34,3) (34,4) 174
(35,3) (35,4) 169
(36,3) (36,4) 263
(37,3) (37,4) 32
(38,3) (38,4) 382
(39,3) (39,4) 113
(40,3) (40,4) 103
(41,3) (41,4) 162
(42,3) (42,4) 245
(43,3) (43,4) 404
(44,3) (44,4) 50
(45,3) (45,4) 373
(46,3) (46,4) 247
(47,3) (47,4) 107
(48,3) (48,4) 487
(49,3) (49,4) 318
(50,3) (50,4) 166
(51,3) (51,4) 42
(52,3) (52,4) 81
(53,3) (53,4) 122
(54,3) (54,4) 414
(55,3) (55,4) 48
(56,3) (56,4) 322
(57,3) (57,4) 13
(58,3) (58,4) 463
(59,3) (59,4) 410
(60,3) (60,4) 261
(61,3) (61,4) 419
(62,3) (62,4) 494
(63,3) (63,4) 35
(64,3) (64,4) 316
(65,3) (65,4) 87
(66,3) (66,4) 357
(67,3) (67,4) 246
(68,3) (68,4) 481
(69,3) (69,4) 233
(70,3) (70,4) 434
(71,3) (71,4) 474
(72,3) (72,4) 176
(73,3) (73,4) 90
(74,3) (74,4) 302
(75,3) (75,4) 314
(76,3) (76,4) 298
(77,3) (77,4) 131
(78,3) (78,4) 147
(79,3) (79,4) 248
(80,3) (80,4) 217
(81,3) (81,4) 75
(82,3) (82,4) 280
(83,3) (83,4) 101
(84,3) (84,4) 429
(85,3) (85,4) 101
(86,3) (86,4) 499
(87,3) (87,4) 48
(88,3) (88,4) 307
(89,3) (89,4) 82
(90,3) (90,4) 30
(91,3) (91,4) 268
(92,3) (92,4) 453
(93,3) (93,4) 452
(94,3) (94,4) 473
(95,3) (95,4) 20
(96,3) (96,4) 181
(97,3) (97,4) 149
(98,3) (98,4) 219
(99,3) (99,4) 377
(100,3) (100,4) 311
(101,3) (101,4) 124
(102,3) (102,4) 131
(103,3) (103,4) 182
(104,3) (104,4) 139
(105,3) (105,4) 28
(106,3) (106,4) 500
(107,3) (107,4) 461
(108,3) (108,4) 120
(109,3) (109,4) 336
(110,3) (110,4) 2
(111,3) (111,4) 86
(112,3) (112,4) 363
(113,3) (113,4) 314
(114,3) (114,4) 112
(115,3) (115,4) 309
(116,3) (116,4) 319
(117,3) (117,4) 157
(118,3) (118,4) 127
(119,3) (119,4) 173
(120,3) (120,4) 477
(121,3) (121,4) 111
(122,3) (122,4) 451
(123,3) (123,4) 236
(124,3) (124,4) 308
(125,3) (125,4) 66
(126,3) (126,4) 233
(127,3) (127,4) 467
(128,3) (128,4) 180
(129,3) (129,4) 332
(130,3) (130,4) 253
(131,3) (131,4) 222
(132,3) (132,4) 182
(133,3) (133,4) 212
(134,3) (134,4) 487
(135,3) (135,4) 37
(136,3) (136,4) 276
(137,3) (137,4) 341
(138,3) (138,4) 234
(139,3) (139,4) 374
(140,3) (140,4) 130
(141,3) (141,4) 96
(142,3) (142,4) 436
(143,3) (143,4) 304
(144,3) (144,4) 72
(145,3) (145,4) 33
(146,3) (146,4) 2
(147,3) (147,4) 61
(148,3) (148,4) 110
(149,3) (149,4) 116
(150,3) (150,4) 15
(151,3) (151,4) 419
(152,3) (152,4) 131
(153,3) (153,4) 204
(154,3) (154,4) 131
(155,3) (155,4) 433
(156,3) (156,4) 194
(157,3) (157,4) 113
(158,3) (158,4) 183
(159,3) (159,4) 32
(160,3) (160,4) 477
(161,3) (161,4) 172
(162,3) (162,4) 135
(163,3) (163,4) 374
(164,3) (164,4) 403
(165,3) (165,4) 419
(166,3) (166,4) 77
(167,3) (167,4) 500
(168,3) (168,4) 396
(169,3) (169,4) 316
(170,3) (170,4) 5
(171,3) (171,4) 231
(172,3) (172,4) 121
(173,3) (173,4) 158
(174,3) (174,4) 314
(175,3) (175,4) 409
(176,3) (176,4) 181
(177,3) (177,4) 215
(178,3) (178,4) 213
(179,3) (179,4) 74
(180,3) (180,4) 436
(181,3) (181,4) 354
(182,3) (182,4) 96
(183,3) (183,4) 387
(184,3) (184,4) 433
(185,3) (185,4) 50
(186,3) (186,4) 22
(187,3) (187,4) 491
(188,3) (188,4) 67
(189,3) (189,4) 92
(190,3) (190,4) 273
(1,4) (1,5) 403
(2,4) (2,5) 426
(3,4) (3,5) 177
(4,4) (4,5) 401
(5,4) (5,5) 280
(6,4) (6,5) 149
(7,4) (7,5) 191
(8,4) (8,5) 349
(9,4) (9,5) 169
(10,4) (10,5) 198
(11,4) (11,5) 421
(12,4) (12,5) 268
(13,4) (13,5) 476
(14,4) (14,5) 45
(15,4) (15,5) 220
(16,4) (16,5) 499
(17,4) (17,5) 175
(18,4) (18,5) 433
(19,4) (19,5) 361
(20,4) (20,5) 318
(21,4) (21,5) 27
(22,4) (22,5) 67
(23,4) (23,5) 385
(24,4) (24,5) 184
(25,4) (25,5) 123
(26,4) (26,5) 424
(27,4) (27,5) 220
(28,4) (28,5) 443
(29,4) (29,5) 451
(30,4) (30,5) 63
(31,4) (31,5) 273
(32,4) (32,5) 141
(33,4) (33,5) 489
(34,4) (34,5) 434
(35,4) (35,5) 72
(36,4) (36,5) 446
(37,4) (37,5) 141
(38,4) (38,5) 419
(39,4) (39,5) 21
(40,4) (40,5) 375
(41,4) (41,5) 465
(42,4) (42,5) 247
(43,4) (43,5) 401
(44,4) (44,5) 469
(45,4) (45,5) 316
(46,4) (46,5) 290
(47,4) (47,5) 292
(48,4) (48,5) 415
(49,4) (49,5) 381
(50,4) (50,5) 380
(51,4) (51,5) 122
(52,4) (52,5) 128
(53,4) (53,5) 225
(54,4) (54,5) 432
(55,4) (55,5) 88
(56,4) (56,5) 61
(57,4) (57,5) 60
(58,4) (58,5) 48
(59,4) (59,5) 74
(60,4) (60,5) 179
(61,4) (61,5) 129
(62,4) (62,5) 442
(63,4) (63,5) 354
(64,4) (64,5) 458
(65,4) (65,5) 396
(66,4) (66,5) 46
(67,4) (67,5) 263
(68,4) (68,5) 451
(69,4) (69,5) 29
(70,4) (70,5) 309
(71,4) (71,5) 201
(72,4) (72,5) 40
(73,4) (73,5) 353
(74,4) (74,5) 94
(75,4) (75,5) 239
(76,4) (76,5) 69
(77,4) (77,5) 436
(78,4) (78,5) 127
(79,4) (79,5) 83
(80,4) (80,5) 118
(81,4) (81,5) 430
(82,4) (82,5) 419
(83,4) (83,5) 394
(84,4) (84,5) 356
(85,4) (85,5) 407
(86,4) (86,5) 155
(87,4) (87,5) 318
(88,4) (88,5) 46
(89,4) (89,5) 371
(90,4) (90,5) 208
(91,4) (91,5) 240
(92,4) (92,5) 246
(93,4) (93,5) 128
(94,4) (94,5) 468
(95,4) (95,5) 315
(96,4) (96,5) 448
(97,4) (97,5) 193
(98,4) (98,5) 416
(99,4) (99,5) 293
(100,4) (100,5) 295
(101,4) (101,5) 311
(102,4) (102,5) 418
(103,4) (103,5) 239
(104,4) (104,5) 42
(105,4) (105,5) 319
(106,4) (106,5) 287
(107,4) (107,5) 167
(108,4) (108,5) 395
(109,4) (109,5) 451
(110,4) (110,5) 46
(111,4) (111,5) 472
(112,4) (112,5) 240
(113,4) (113,5) 436
(114,4) (114,5) 249
(115,4) (115,5) 37
(116,4) (116,5) 158
(117,4) (117,5) 170
(118,4) (118,5) 168
(119,4) (119,5) 216
(120,4) (120,5) 359
(121,4) (121,5) 174
(122,4) (122,5) 192
(123,4) (123,5) 199
(124,4) (124,5) 83
(125,4) (125,5) 380
(126,4) (126,5) 416
(127,4) (127,5) 182
(128,4) (128,5) 24
(129,4) (129,5) 72
(130,4) (130,5) 112
(131,4) (131,5) 243
(132,4) (132,5) 251
(133,4) (133,5) 152
(134,4) (134,5) 4
(135,4) (135,5) 366
(136,4) (136,5) 135
(137,4) (137,5) 381
(138,4) (138,5) 159
(139,4) (139,5) 133
(140,4) (140,5) 453
(141,4) (141,5) 154
(142,4) (142,5) 438
(143,4) (143,5) 205
(144,4) (144,5) 429
(145,4) (145,5) 378
(146,4) (146,5) 227
(147,4) (147,5) 272
(148,4) (148,5) 457
(149,4) (149,5) 241
(150,4) (150,5) 387
(151,4) (151,5) 2
(152,4) (152,5) 104
(153,4) (153,5) 55
(154,4) (154,5) 420
(155,4) (155,5) 498
(156,4) (156,5) 475
(157,4) (157,5) 90
(158,4) (158,5) 188
(159,4) (159,5) 153
(160,4) (160,5) 120
(161,4) (161,5) 90
(162,4) (162,5) 180
(163,4) (163,5) 171
(164,4) (164,5) 295
(165,4) (165,5) 483
(166,4) (166,5) 85
(167,4) (167,5) 59
(168,4) (168,5) 6
(169,4) (169,5) 397
(170,4) (170,5) 349
(171,4) (171,5) 314
(172,4) (172,5) 344
(173,4) (173,5) 133
(174,4) (174,5) 338
(175,4) (175,5) 84
(176,4) (176,5) 106
(177,4) (177,5) 420
(178,4) (178,5) 104
(179,4) (179,5) 73
(180,4) (180,5) 286
(181,4) (181,5) 345
(182,4) (182,5) 476
(183,4) (183,5) 339
(184,4) (184,5) 354
(185,4) (185,5) 188
(186,4) (186,5) 173
(187,4) (187,5) 461
(188,4) (188,5) 394
(189,4) (189,5) 482
(190,4) (190,5) 46
(1,5) (1,6) 153
(2,5) (2,6) 378
(3,5) (3,6) 401
(4,5) (4,6) 419
(5,5) (5,6) 480
(6,5) (6,6) 270
(7,5) (7,6) 272
(8,5) (8,6) 278
(9,5) (9,6) 242
(10,5) (10,6) 359
(11,5) (11,6) 137
(12,5) (12,6) 74
(13,5) (13,6) 141
(14,5) (14,6) 95
(15,5) (15,6) 251
(16,5) (16,6) 116
(17,5) (17,6) 70
(18,5) (18,6) 490
(19,5) (19,6) 446
(20,5) (20,6) 180
(21,5) (21,6) 339
(22,5) (22,6) 497
(23,5) (23,6) 53
(24,5) (24,6) 287
(25,5) (25,6) 116
(26,5) (26,6) 151
(27,5) (27,6) 75
(28,5) (28,6) 475
(29,5) (29,6) 345
(30,5) (30,6) 311
(31,5) (31,6) 415
(32,5) (32,6) 352
(33,5) (33,6) 6
(34,5) (34,6) 296
(35,5) (35,6) 39
(36,5) (36,6) 390
(37,5) (37,6) 478
(38,5) (38,6) 117
(39,5) (39,6) 249
(40,5) (40,6) 48
(41,5) (41,6) 59
(42,5) (42,6) 254
(43,5) (43,6) 223
(44,5) (44,6) 165
(45,5) (45,6) 114
(46,5) (46,6) 11
(47,5) (47,6) 264
(48,5) (48,6) 470
(49,5) (49,6) 491
(50,5) (50,6) 224
(51,5) (51,6) 440
(52,5) (52,6) 8
(53,5) (53,6) 251
(54,5) (54,6) 25
(55,5) (55,6) 206
(56,5) (56,6) 444
(57,5) (57,6) 442
(58,5) (58,6) 449
(59,5) (59,6) 474
(60,5) (60,6) 476
(61,5) (61,6) 225
(62,5) (62,6) 47
(63,5) (63,6) 474
(64,5) (64,6) 476
(65,5) (65,6) 268
(66,5) (66,6) 496
(67,5) (67,6) 162
(68,5) (68,6) 115
(69,5) (69,6) 310
(70,5) (70,6) 284
(71,5) (71,6) 343
(72,5) (72,6) 125
(73,5) (73,6) 181
(74,5) (74,6) 215
(75,5) (75,6) 277
(76,5) (76,6) 207
(77,5) (77,6) 446
(78,5) (78,6) 372
(79,5) (79,6) 113
(80,5) (80,6) 361
(81,5) (81,6) 358
(82,5) (82,6) 106
(83,5) (83,6) 30
(84,5) (84,6) 491
(85,5) (85,6) 215
(86,5) (86,6) 104
(87,5) (87,6) 116
(88,5) (88,6) 490
(89,5) (89,6) 34
(90,5) (90,6) 95
(91,5) (91,6) 467
(92,5) (92,6) 127
(93,5) (93,6) 277
(94,5) (94,6) 325
(95,5) (95,6) 438
(96,5) (96,6) 119
(97,5) (97,6) 242
(98,5) (98,6) 213
(99,5) (99,6) 279
(100,5) (100,6) 286
(101,5) (101,6) 398
(102,5) (102,6) 222
(103,5) (103,6) 92
(104,5) (104,6) 498
(105,5) (105,6) 370
(106,5) (106,6) 267
(107,5) (107,6) 273
(108,5) (108,6) 55
(109,5) (109,6) 23
(110,5) (110,6) 461
(111,5) (111,6) 162
(112,5) (112,6) 269
(113,5) (113,6) 281
(114,5) (114,6) 112
(115,5) (115,6) 412
(116,5) (116,6) 166
(117,5) (117,6) 434
(118,5) (118,6) 59
(119,5) (119,6) 154
(120,5) (120,6) 499
(121,5) (121,6) 115
(122,5) (122,6) 381
(123,5) (123,6) 104
(124,5) (124,6) 209
(125,5) (125,6) 457
(126,5) (126,6) 423
(127,5) (127,6) 248
(128,5) (128,6) 253
(129,5) (129,6) 98
(130,5) (130,6) 380
(131,5) (131,6) 423
(132,5) (132,6) 170
(133,5) (133,6) 473
(134,5) (134,6) 364
(135,5) (135,6) 332
(136,5) (136,6) 327
(137,5) (137,6) 144
(138,5) (138,6) 440
(139,5) (139,6) 77
(140,5) (140,6) 81
(141,5) (141,6) 115
(142,5) (142,6) 187
(143,5) (143,6) 6
(144,5) (144,6) 122
(145,5) (145,6) 146
(146,5) (146,6) 84
(147,5) (147,6) 254
(148,5) (148,6) 432
(149,5) (149,6) 224
(150,5) (150,6) 157
(151,5) (151,6) 216
(152,5) (152,6) 369
(153,5) (153,6) 204
(154,5) (154,6) 51
(155,5) (155,6) 19
(156,5) (156,6) 352
(157,5) (157,6) 258
(158,5) (158,6) 283
(159,5) (159,6) 203
(160,5) (160,6) 150
(161,5) (161,6) 74
(162,5) (162,6) 51
(163,5) (163,6) 384
(164,5) (164,6) 431
(165,5) (165,6) 8
(166,5) (166,6) 478
(167,5) (167,6) 479
(168,5) (168,6) 372
(169,5) (169,6) 391
(170,5) (170,6) 192
(171,5) (171,6) 319
(172,5) (172,6) 322
(173,5) (173,6) 430
(174,5) (174,6) 30
(175,5) (175,6) 357
(176,5) (176,6) 204
(177,5) (177,6) 254
(178,5) (178,6) 19
(179,5) (179,6) 276
(180,5) (180,6) 373
(181,5) (181,6) 453
(182,5) (182,6) 284
(183,5) (183,6) 367
(184,5) (184,6) 109
