s (1,1) 311
s (114,1) 290
s (115,1) 128
s (116,1) 23
s (117,1) 51
s (118,1) 494
s (119,1) 254
s (120,1) 342
s (121,1) 107
s (122,1) 190
s (123,1) 229
s (124,1) 336
s (125,1) 301
s (126,1) 347
s (127,1) 49
s (128,1) 309
s (129,1) 82
s (130,1) 486
s (131,1) 496
s (132,1) 80
s (133,1) 422
s (134,1) 319
s (135,1) 425
s (136,1) 22
s (137,1) 86
s (138,1) 19
s (139,1) 145
s (140,1) 279
s (141,1) 50
s (142,1) 7
s (143,1) 224
s (144,1) 406
s (145,1) 459
s (146,1) 333
s (147,1) 489
s (148,1) 320
s (149,1) 33
s (150,1) 370
s (151,1) 350
s (152,1) 144
s (153,1) 381
s (154,1) 101
s (155,1) 460
s (156,1) 250
s (157,1) 176
s (158,1) 128
s (159,1) 303
s (160,1) 2
s (161,1) 31
s (162,1) 189
s (163,1) 348
s (164,1) 232
s (165,1) 367
s (166,1) 24
s (167,1) 175
s (168,1) 67
s (169,1) 395
s (170,1) 96
s (171,1) 39
s (172,1) 339
s (173,1) 378
s (174,1) 171
s (175,1) 481
s (176,1) 292
s (177,1) 483
s (178,1) 488
s (179,1) 4
s (180,1) 92
s (181,1) 115
s (182,1) 28
s (183,1) 119
s (184,1) 305
s (185,1) 428
s (186,1) 85
s (187,1) 254
s (188,1) 41
s (189,1) 244
s (190,1) 268
s (191,1) 440
s (192,1) 374
s (193,1) 470
s (194,1) 465
s (195,1) 375
s (196,1) 422
s (197,1) 75
s (198,1) 153
s (199,1) 128
s (200,1) 412
s (201,1) 266
s (202,1) 332
s (203,1) 49
s (204,1) 186
s (205,1) 348
s (206,1) 241
s (207,1) 62
s (208,1) 24
s (209,1) 174
s (210,1) 423
s (211,1) 148
s (212,1) 85
s (213,1) 45
s (214,1) 257
s (215,1) 346
s (216,1) 468
s (217,1) 204
s (218,1) 246
s (219,1) 494
s (220,1) 433
(1,1) (1,2) 294
(2,1) (2,2) 340
(3,1) (3,2) 131
(4,1) (4,2) 267
(5,1) (5,2) 395
(6,1) (6,2) 256
(7,1) (7,2) 152
(8,1) (8,2) 475
(9,1) (9,2) 329
(10,1) (10,2) 27
(11,1) (11,2) 186
(12,1) (12,2) 27
(13,1) (13,2) 432
(14,1) (14,2) 423
(15,1) (15,2) 212
(16,1) (16,2) 396
(17,1) (17,2) 290
(18,1) (18,2) 240
(19,1) (19,2) 43
(20,1) (20,2) 182
(21,1) (21,2) 477
(22,1) (22,2) 202
(23,1) (23,2) 281
(24,1) (24,2) 371
(25,1) (25,2) 279
(26,1) (26,2) 125
(27,1) (27,2) 423
(28,1) (28,2) 186
(29,1) (29,2) 113
(30,1) (30,2) 409
(31,1) (31,2) 127
(32,1) (32,2) 75
(33,1) (33,2) 321
(34,1) (34,2) 104
(35,1) (35,2) 356
(36,1) (36,2) 319
(37,1) (37,2) 401
(38,1) (38,2) 192
(39,1) (39,2) 393
(40,1) (40,2) 110
(41,1) (41,2) 433
(42,1) (42,2) 338
(43,1) (43,2) 430
(44,1) (44,2) 242
(45,1) (45,2) 104
(46,1) (46,2) 13
(47,1) (47,2) 478
(48,1) (48,2) 218
(49,1) (49,2) 152
(50,1) (50,2) 105
(51,1) (51,2) 494
(52,1) (52,2) 5
(53,1) (53,2) 96
(54,1) (54,2) 89
(55,1) (55,2) 267
(56,1) (56,2) 481
(57,1) (57,2) 466
(58,1) (58,2) 188
(59,1) (59,2) 453
(60,1) (60,2) 264
(61,1) (61,2) 490
(62,1) (62,2) 376
(63,1) (63,2) 199
(64,1) (64,2) 238
(65,1) (65,2) 430
(66,1) (66,2) 267
(67,1) (67,2) 204
(68,1) (68,2) 267
(69,1) (69,2) 78
(70,1) (70,2) 419
(71,1) (71,2) 201
(72,1) (72,2) 60
(73,1) (73,2) 439
(74,1) (74,2) 461
(75,1) (75,2) 99
(76,1) (76,2) 490
(77,1) (77,2) 492
(78,1) (78,2) 83
(79,1) (79,2) 400
(80,1) (80,2) 432
(81,1) (81,2) 152
(82,1) (82,2) 364
(83,1) (83,2) 245
(84,1) (84,2) 187
(85,1) (85,2) 499
(86,1) (86,2) 237
(87,1) (87,2) 361
(88,1) (88,2) 47
(89,1) (89,2) 393
(90,1) (90,2) 425
(91,1) (91,2) 244
(92,1) (92,2) 256
(93,1) (93,2) 349
(94,1) (94,2) 25
(95,1) (95,2) 309
(96,1) (96,2) 306
(97,1) (97,2) 395
(98,1) (98,2) 402
(99,1) (99,2) 219
(100,1) (100,2) 399
(101,1) (101,2) 296
(102,1) (102,2) 300
(103,1) (103,2) 68
(104,1) (104,2) 456
(105,1) (105,2) 496
(106,1) (106,2) 57
(107,1) (107,2) 234
(108,1) (108,2) 367
(109,1) (109,2) 150
(110,1) (110,2) 468
(111,1) (111,2) 102
(112,1) (112,2) 152
(113,1) (113,2) 492
(114,1) (114,2) 236
(115,1) (115,2) 308
(116,1) (116,2) 418
(117,1) (117,2) 489
(118,1) (118,2) 8
(119,1) (119,2) 233
(120,1) (120,2) 14
(121,1) (121,2) 412
(122,1) (122,2) 45
(123,1) (123,2) 473
(124,1) (124,2) 399
(125,1) (125,2) 200
(126,1) (126,2) 142
(127,1) (127,2) 33
(128,1) (128,2) 340
(129,1) (129,2) 474
(130,1) (130,2) 156
(131,1) (131,2) 488
(132,1) (132,2) 403
(133,1) (133,2) 448
(134,1) (134,2) 64
(135,1) (135,2) 226
(136,1) (136,2) 370
(137,1) (137,2) 135
(138,1) (138,2) 154
(139,1) (139,2) 190
(140,1) (140,2) 334
(141,1) (141,2) 51
(142,1) (142,2) 4
(143,1) (143,2) 177
(144,1) (144,2) 84
(145,1) (145,2) 67
(146,1) (146,2) 330
(147,1) (147,2) 112
(148,1) (148,2) 356
(149,1) (149,2) 84
(150,1) (150,2) 188
(151,1) (151,2) 178
(152,1) (152,2) 433
(153,1) (153,2) 328
(154,1) (154,2) 275
(155,1) (155,2) 348
(156,1) (156,2) 433
(157,1) (157,2) 27
(158,1) (158,2) 397
(159,1) (159,2) 363
(160,1) (160,2) 315
(161,1) (161,2) 95
(162,1) (162,2) 439
(163,1) (163,2) 76
(164,1) (164,2) 447
(165,1) (165,2) 341
(166,1) (166,2) 373
(167,1) (167,2) 423
(168,1) (168,2) 423
(169,1) (169,2) 68
(170,1) (170,2) 279
(171,1) (171,2) 389
(172,1) (172,2) 221
(173,1) (173,2) 302
(174,1) (174,2) 451
(175,1) (175,2) 495
(176,1) (176,2) 84
(177,1) (177,2) 205
(178,1) (178,2) 445
(179,1) (179,2) 212
(180,1) (180,2) 431
(181,1) (181,2) 362
(182,1) (182,2) 64
(183,1) (183,2) 208
(184,1) (184,2) 276
(185,1) (185,2) 387
(186,1) (186,2) 468
(187,1) (187,2) 408
(188,1) (188,2) 2
(189,1) (189,2) 8
(190,1) (190,2) 258
(191,1) (191,2) 346
(192,1) (192,2) 348
(193,1) (193,2) 312
(194,1) (194,2) 489
(195,1) (195,2) 102
(196,1) (196,2) 23
(197,1) (197,2) 189
(198,1) (198,2) 56
(199,1) (199,2) 483
(200,1) (200,2) 98
(201,1) (201,2) 35
(202,1) (202,2) 409
(203,1) (203,2) 175
(204,1) (204,2) 80
(205,1) (205,2) 85
(206,1) (206,2) 41
(207,1) (207,2) 169
(208,1) (208,2) 63
(209,1) (209,2) 447
(210,1) (210,2) 399
(211,1) (211,2) 49
(212,1) (212,2) 468
(213,1) (213,2) 11
(214,1) (214,2) 212
(215,1) (215,2) 371
(216,1) (216,2) 16
(217,1) (217,2) 352
(218,1) (218,2) 432
(219,1) (219,2) 194
(220,1) (220,2) 266
(1,2) (1,3) 265
(2,2) (2,3) 447
(3,2) (3,3) 268
(4,2) (4,3) 446
(5,2) (5,3) 355
(6,2) (6,3) 126
(7,2) (7,3) 294
(8,2) (8,3) 22
(9,2) (9,3) 198
(10,2) (10,3) 466
(11,2) (11,3) 102
(12,2) (12,3) 164
(13,2) (13,3) 309
(14,2) (14,3) 484
(15,2) (15,3) 221
(16,2) (16,3) 305
(17,2) (17,3) 478
(18,2) (18,3) 66
(19,2) (19,3) 168
(20,2) (20,3) 389
(21,2) (21,3) 344
(22,2) (22,3) 361
(23,2) (23,3) 122
(24,2) (24,3) 280
(25,2) (25,3) 165
(26,2) (26,3) 193
(27,2) (27,3) 463
(28,2) (28,3) 240
(29,2) (29,3) 480
(30,2) (30,3) 482
(31,2) (31,3) 477
(32,2) (32,3) 69
(33,2) (33,3) 284
(34,2) (34,3) 37
(35,2) (35,3) 360
(36,2) (36,3) 190
(37,2) (37,3) 171
(38,2) (38,3) 275
(39,2) (39,3) 62
(40,2) (40,3) 114
(41,2) (41,3) 313
(42,2) (42,3) 402
(43,2) (43,3) 412
(44,2) (44,3) 208
(45,2) (45,3) 249
(46,2) (46,3) 71
(47,2) (47,3) 75
(48,2) (48,3) 271
(49,2) (49,3) 62
(50,2) (50,3) 71
(51,2) (51,3) 466
(52,2) (52,3) 255
(53,2) (53,3) 324
(54,2) (54,3) 130
(55,2) (55,3) 248
(56,2) (56,3) 285
(57,2) (57,3) 462
(58,2) (58,3) 205
(59,2) (59,3) 64
(60,2) (60,3) 277
(61,2) (61,3) 77
(62,2) (62,3) 188
(63,2) (63,3) 306
(64,2) (64,3) 226
(65,2) (65,3) 447
(66,2) (66,3) 485
(67,2) (67,3) 110
(68,2) (68,3) 291
(69,2) (69,3) 156
(70,2) (70,3) 480
(71,2) (71,3) 35
(72,2) (72,3) 54
(73,2) (73,3) 354
(74,2) (74,3) 168
(75,2) (75,3) 169
(76,2) (76,3) 38
(77,2) (77,3) 107
(78,2) (78,3) 7
(79,2) (79,3) 304
(80,2) (80,3) 458
(81,2) (81,3) 409
(82,2) (82,3) 342
(83,2) (83,3) 377
(84,2) (84,3) 228
(85,2) (85,3) 296
(86,2) (86,3) 388
(87,2) (87,3) 199
(88,2) (88,3) 316
(89,2) (89,3) 316
(90,2) (90,3) 249
(91,2) (91,3) 467
(92,2) (92,3) 354
(93,2) (93,3) 453
(94,2) (94,3) 107
(95,2) (95,3) 500
(96,2) (96,3) 131
(97,2) (97,3) 234
(98,2) (98,3) 5
(99,2) (99,3) 398
(100,2) (100,3) 229
(101,2) (101,3) 259
(102,2) (102,3) 141
(103,2) (103,3) 468
(104,2) (104,3) 409
(105,2) (105,3) 268
(106,2) (106,3) 284
(107,2) (107,3) 5
(108,2) (108,3) 87
(109,2) (109,3) 52
(110,2) (110,3) 387
(111,2) (111,3) 208
(112,2) (112,3) 149
(113,2) (113,3) 143
(114,2) (114,3) 473
(115,2) (115,3) 59
(116,2) (116,3) 345
(117,2) (117,3) 38
(118,2) (118,3) 272
(119,2) (119,3) 14
(120,2) (120,3) 168
(121,2) (121,3) 197
(122,2) (122,3) 98
(123,2) (123,3) 74
(124,2) (124,3) 120
(125,2) (125,3) 7
(126,2) (126,3) 190
(127,2) (127,3) 220
(128,2) (128,3) 158
(129,2) (129,3) 215
(130,2) (130,3) 43
(131,2) (131,3) 248
(132,2) (132,3) 325
(133,2) (133,3) 447
(134,2) (134,3) 241
(135,2) (135,3) 266
(136,2) (136,3) 256
(137,2) (137,3) 209
(138,2) (138,3) 34
(139,2) (139,3) 304
(140,2) (140,3) 122
(141,2) (141,3) 215
(142,2) (142,3) 129
(143,2) (143,3) 256
(144,2) (144,3) 406
(145,2) (145,3) 95
(146,2) (146,3) 347
(147,2) (147,3) 42
(148,2) (148,3) 144
(149,2) (149,3) 20
(150,2) (150,3) 318
(151,2) (151,3) 310
(152,2) (152,3) 355
(153,2) (153,3) 273
(154,2) (154,3) 327
(155,2) (155,3) 46
(156,2) (156,3) 402
(157,2) (157,3) 268
(158,2) (158,3) 311
(159,2) (159,3) 189
(160,2) (160,3) 449
(161,2) (161,3) 412
(162,2) (162,3) 170
(163,2) (163,3) 332
(164,2) (164,3) 330
(165,2) (165,3) 348
(166,2) (166,3) 93
(167,2) (167,3) 420
(168,2) (168,3) 48
(169,2) (169,3) 239
(170,2) (170,3) 79
(171,2) (171,3) 347
(172,2) (172,3) 280
(173,2) (173,3) 128
(174,2) (174,3) 138
(175,2) (175,3) 32
(176,2) (176,3) 263
(177,2) (177,3) 382
(178,2) (178,3) 104
(179,2) (179,3) 36
(180,2) (180,3) 452
(181,2) (181,3) 318
(182,2) (182,3) 413
(183,2) (183,3) 294
(184,2) (184,3) 124
(185,2) (185,3) 330
(186,2) (186,3) 104
(187,2) (187,3) 267
(188,2) (188,3) 68
(189,2) (189,3) 366
(190,2) (190,3) 414
(191,2) (191,3) 232
(192,2) (192,3) 398
(193,2) (193,3) 342
(194,2) (194,3) 135
(195,2) (195,3) 238
(196,2) (196,3) 309
(197,2) (197,3) 330
(198,2) (198,3) 424
(199,2) (199,3) 24
(200,2) (200,3) 43
(201,2) (201,3) 311
(202,2) (202,3) 233
(203,2) (203,3) 132
(204,2) (204,3) 52
(205,2) (205,3) 387
(206,2) (206,3) 445
(207,2) (207,3) 483
(208,2) (208,3) 57
(209,2) (209,3) 464
(210,2) (210,3) 440
(211,2) (211,3) 23
(212,2) (212,3) 283
(213,2) (213,3) 198
(214,2) (214,3) 226
(215,2) (215,3) 482
(216,2) (216,3) 87
(217,2) (217,3) 478
(218,2) (218,3) 93
(219,2) (219,3) 353
(220,2) (220,3) 331
(1,3) (1,4) 292
(2,3) (2,4) 57
(3,3) (3,4) 113
(4,3) (4,4) 2
(5,3) (5,4) 277
(6,3) (6,4) 396
(7,3) (7,4) 382
(8,3) (8,4) 36
(9,3) (9,4) 270
(10,3) (10,4) 391
(11,3) (11,4) 86
(12,3) (12,4) 62
(13,3) (13,4) 372
(14,3) (14,4) 38
(15,3) (15,4) 452
(16,3) (16,4) 130
(17,3) (17,4) 425
(18,3) (18,4) 288
(19,3) (19,4) 310
(20,3) (20,4) 328
(21,3) (21,4) 349
(22,3) (22,4) 216
(23,3) (23,4) 110
(24,3) (24,4) 277
(25,3) (25,4) 346
(26,3) (26,4) 396
(27,3) (27,4) 235
(28,3) (28,4) 187
(29,3) (29,4) 394
(30,3) (30,4) 299
(31,3) (31,4) 41
(32,3) (32,4) 262
(33,3) (33,4) 210
(34,3) (34,4) 142
(35,3) (35,4) 354
(36,3) (36,4) 193
(37,3) (37,4) 453
(38,3) (38,4) 50
(39,3) (39,4) 33
(40,3) (40,4) 246
(41,3) (41,4) 335
(42,3) (42,4) 470
(43,3) (43,4) 139
(44,3) (44,4) 173
(45,3) (45,4) 300
(46,3) (46,4) 213
(47,3) (47,4) 423
(48,3) (48,4) 263
(49,3) (49,4) 49
(50,3) (50,4) 484
(51,3) (51,4) 412
(52,3) (52,4) 496
(53,3) (53,4) 57
(54,3) (54,4) 270
(55,3) (55,4) 68
(56,3) (56,4) 218
(57,3) (57,4) 233
(58,3) (58,4) 352
(59,3) (59,4) 65
(60,3) (60,4) 353
(61,3) (61,4) 162
(62,3) (62,4) 44
(63,3) (63,4) 149
(64,3) (64,4) 233
(65,3) (65,4) 53
(66,3) (66,4) 117
(67,3) (67,4) 402
(68,3) (68,4) 99
(69,3) (69,4) 285
(70,3) (70,4) 150
(71,3) (71,4) 201
(72,3) (72,4) 425
(73,3) (73,4) 289
(74,3) (74,4) 237
(75,3) (75,4) 34
(76,3) (76,4) 216
(77,3) (77,4) 349
(78,3) (78,4) 126
(79,3) (79,4) 486
(80,3) (80,4) 227
(81,3) (81,4) 163
(82,3) (82,4) 381
(83,3) (83,4) 273
(84,3) (84,4) 357
(85,3) (85,4) 23
(86,3) (86,4) 436
(87,3) (87,4) 111
(88,3) (88,4) 63
(89,3) (89,4) 260
(90,3) (90,4) 390
(91,3) (91,4) 395
(92,3) (92,4) 230
(93,3) (93,4) 86
(94,3) (94,4) 134
(95,3) (95,4) 2
(96,3) (96,4) 385
(97,3) (97,4) 100
(98,3) (98,4) 308
(99,3) (99,4) 203
(100,3) (100,4) 56
(101,3) (101,4) 158
(102,3) (102,4) 299
(103,3) (103,4) 259
(104,3) (104,4) 221
(105,3) (105,4) 425
(106,3) (106,4) 211
(107,3) (107,4) 28
(108,3) (108,4) 338
(109,3) (109,4) 136
(110,3) (110,4) 353
(111,3) (111,4) 475
(112,3) (112,4) 104
(113,3) (113,4) 312
(114,3) (114,4) 50
(115,3) (115,4) 351
(116,3) (116,4) 75
(117,3) (117,4) 304
(118,3) (118,4) 145
(119,3) (119,4) 414
(120,3) (120,4) 92
(121,3) (121,4) 486
(122,3) (122,4) 321
(123,3) (123,4) 130
(124,3) (124,4) 92
(125,3) (125,4) 257
(126,3) (126,4) 204
(127,3) (127,4) 145
(128,3) (128,4) 406
(129,3) (129,4) 367
(130,3) (130,4) 57
(131,3) (131,4) 449
(132,3) (132,4) 452
(133,3) (133,4) 480
(134,3) (134,4) 313
(135,3) (135,4) 143
(136,3) (136,4) 402
(137,3) (137,4) 218
(138,3) (138,4) 461
(139,3) (139,4) 329
(140,3) (140,4) 461
(141,3) (141,4) 397
(142,3) (142,4) 471
(143,3) (143,4) 275
(144,3) (144,4) 72
(145,3) (145,4) 14
(146,3) (146,4) 16
(147,3) (147,4) 471
(148,3) (148,4) 382
(149,3) (149,4) 328
(150,3) (150,4) 365
(151,3) (151,4) 456
(152,3) (152,4) 67
(153,3) (153,4) 447
(154,3) (154,4) 387
(155,3) (155,4) 61
(156,3) (156,4) 140
(157,3) (157,4) 148
(158,3) (158,4) 494
(159,3) (159,4) 328
(160,3) (160,4) 42
(161,3) (161,4) 366
(162,3) (162,4) 64
(163,3) (163,4) 277
(164,3) (164,4) 7
(165,3) (165,4) 107
(166,3) (166,4) 488
(167,3) (167,4) 414
(168,3) (168,4) 421
(169,3) (169,4) 388
(170,3) (170,4) 102
(171,3) (171,4) 300
(172,3) (172,4) 196
(173,3) (173,4) 16
(174,3) (174,4) 366
(175,3) (175,4) 23
(176,3) (176,4) 399
(177,3) (177,4) 56
(178,3) (178,4) 366
(179,3) (179,4) 404
(180,3) (180,4) 254
(181,3) (181,4) 3
(182,3) (182,4) 352
(183,3) (183,4) 351
(184,3) (184,4) 375
(185,3) (185,4) 451
(186,3) (186,4) 49
(187,3) (187,4) 365
(188,3) (188,4) 382
(189,3) (189,4) 439
(190,3) (190,4) 164
(191,3) (191,4) 56
(192,3) (192,4) 244
(193,3) (193,4) 26
(194,3) (194,4) 219
(195,3) (195,4) 439
(196,3) (196,4) 404
(197,3) (197,4) 443
(198,3) (198,4) 396
(199,3) (199,4) 474
(200,3) (200,4) 182
(201,3) (201,4) 260
(202,3) (202,4) 151
(203,3) (203,4) 446
(204,3) (204,4) 102
(205,3) (205,4) 128
(206,3) (206,4) 228
(207,3) (207,4) 1
(208,3) (208,4) 60
(209,3) (209,4) 139
(210,3) (210,4) 421
(211,3) (211,4) 104
(212,3) (212,4) 370
(213,3) (213,4) 96
(214,3) (214,4) 491
(215,3) (215,4) 22
(216,3) (216,4) 401
(217,3) (217,4) 70
(218,3) (218,4) 390
(219,3) (219,4) 398
(220,3) (220,4) 246
(1,4) (1,5) 150
(2,4) (2,5) 494
(3,4) (3,5) 474
(4,4) (4,5) 249
(5,4) (5,5) 222
(6,4) (6,5) 344
(7,4) (7,5) 266
(8,4) (8,5) 341
(9,4) (9,5) 499
(10,4) (10,5) 178
(11,4) (11,5) 464
(12,4) (12,5) 4
(13,4) (13,5) 468
(14,4) (14,5) 108
(15,4) (15,5) 310
(16,4) (16,5) 104
(17,4) (17,5) 310
(18,4) (18,5) 236
(19,4) (19,5) 91
(20,4) (20,5) 347
(21,4) (21,5) 477
(22,4) (22,5) 245
(23,4) (23,5) 243
(24,4) (24,5) 108
(25,4) (25,5) 304
(26,4) (26,5) 208
(27,4) (27,5) 357
(28,4) (28,5) 123
(29,4) (29,5) 353
(30,4) (30,5) 436
(31,4) (31,5) 62
(32,4) (32,5) 264
(33,4) (33,5) 101
(34,4) (34,5) 108
(35,4) (35,5) 328
(36,4) (36,5) 331
(37,4) (37,5) 343
(38,4) (38,5) 275
(39,4) (39,5) 163
(40,4) (40,5) 36
(41,4) (41,5) 372
(42,4) (42,5) 268
(43,4) (43,5) 165
(44,4) (44,5) 459
(45,4) (45,5) 210
(46,4) (46,5) 408
(47,4) (47,5) 432
(48,4) (48,5) 75
(49,4) (49,5) 26
(50,4) (50,5) 154
(51,4) (51,5) 295
(52,4) (52,5) 113
(53,4) (53,5) 97
(54,4) (54,5) 105
(55,4) (55,5) 46
(56,4) (56,5) 182
(57,4) (57,5) 239
(58,4) (58,5) 461
(59,4) (59,5) 376
(60,4) (60,5) 417
(61,4) (61,5) 435
(62,4) (62,5) 92
(63,4) (63,5) 128
(64,4) (64,5) 412
(65,4) (65,5) 43
(66,4) (66,5) 47
(67,4) (67,5) 40
(68,4) (68,5) 190
(69,4) (69,5) 499
(70,4) (70,5) 2
(71,4) (71,5) 205
(72,4) (72,5) 311
(73,4) (73,5) 106
(74,4) (74,5) 236
(75,4) (75,5) 107
(76,4) (76,5) 291
(77,4) (77,5) 338
(78,4) (78,5) 164
(79,4) (79,5) 446
(80,4) (80,5) 449
(81,4) (81,5) 420
(82,4) (82,5) 218
(83,4) (83,5) 139
(84,4) (84,5) 245
(85,4) (85,5) 195
(86,4) (86,5) 54
(87,4) (87,5) 312
(88,4) (88,5) 493
(89,4) (89,5) 13
(90,4) (90,5) 461
(91,4) (91,5) 39
(92,4) (92,5) 218
(93,4) (93,5) 317
(94,4) (94,5) 5
(95,4) (95,5) 130
(96,4) (96,5) 205
(97,4) (97,5) 69
(98,4) (98,5) 362
(99,4) (99,5) 64
(100,4) (100,5) 272
(101,4) (101,5) 364
(102,4) (102,5) 298
(103,4) (103,5) 489
(104,4) (104,5) 68
(105,4) (105,5) 101
(106,4) (106,5) 161
(107,4) (107,5) 367
(108,4) (108,5) 209
(109,4) (109,5) 366
(110,4) (110,5) 88
(111,4) (111,5) 353
(112,4) (112,5) 195
(113,4) (113,5) 163
(114,4) (114,5) 256
(115,4) (115,5) 141
(116,4) (116,5) 483
(117,4) (117,5) 299
(118,4) (118,5) 308
(119,4) (119,5) 454
(120,4) (120,5) 438
(121,4) (121,5) 186
(122,4) (122,5) 212
(123,4) (123,5) 126
(124,4) (124,5) 374
(125,4) (125,5) 446
(126,4) (126,5) 236
(127,4) (127,5) 412
(128,4) (128,5) 249
(129,4) (129,5) 411
(130,4) (130,5) 97
(131,4) (131,5) 326
(132,4) (132,5) 384
(133,4) (133,5) 25
(134,4) (134,5) 58
(135,4) (135,5) 310
(136,4) (136,5) 160
(137,4) (137,5) 464
(138,4) (138,5) 423
(139,4) (139,5) 398
(140,4) (140,5) 317
(141,4) (141,5) 404
(142,4) (142,5) 239
(143,4) (143,5) 268
(144,4) (144,5) 313
(145,4) (145,5) 241
(146,4) (146,5) 477
(147,4) (147,5) 87
(148,4) (148,5) 172
(149,4) (149,5) 274
(150,4) (150,5) 211
(151,4) (151,5) 368
(152,4) (152,5) 491
(153,4) (153,5) 217
(154,4) (154,5) 346
(155,4) (155,5) 89
(156,4) (156,5) 141
(157,4) (157,5) 374
(158,4) (158,5) 13
(159,4) (159,5) 347
(160,4) (160,5) 2
(161,4) (161,5) 221
(162,4) (162,5) 108
(163,4) (163,5) 113
(164,4) (164,5) 139
(165,4) (165,5) 447
(166,4) (166,5) 132
(167,4) (167,5) 37
(168,4) (168,5) 83
(169,4) (169,5) 353
(170,4) (170,5) 310
(171,4) (171,5) 150
(172,4) (172,5) 102
(173,4) (173,5) 455
(174,4) (174,5) 254
(175,4) (175,5) 328
(176,4) (176,5) 355
(177,4) (177,5) 12
(178,4) (178,5) 136
(179,4) (179,5) 355
(180,4) (180,5) 127
(181,4) (181,5) 247
(182,4) (182,5) 422
(183,4) (183,5) 21
(184,4) (184,5) 169
(185,4) (185,5) 23
(186,4) (186,5) 267
(187,4) (187,5) 236
(188,4) (188,5) 464
(189,4) (189,5) 441
(190,4) (190,5) 323
(191,4) (191,5) 467
(192,4) (192,5) 186
(193,4) (193,5) 150
(194,4) (194,5) 359
(195,4) (195,5) 316
(196,4) (196,5) 267
(197,4) (197,5) 356
(198,4) (198,5) 405
(199,4) (199,5) 257
(200,4) (200,5) 481
(201,4) (201,5) 218
(202,4) (202,5) 275
(203,4) (203,5) 241
(204,4) (204,5) 344
(205,4) (205,5) 495
(206,4) (206,5) 65
(207,4) (207,5) 208
(208,4) (208,5) 457
(209,4) (209,5) 285
(210,4) (210,5) 56
(211,4) (211,5) 83
(212,4) (212,5) 333
(213,4) (213,5) 358
(214,4) (214,5) 321
(215,4) (215,5) 357
(216,4) (216,5) 224
(217,4) (217,5) 240
(218,4) (218,5) 132
(219,4) (219,5) 443
(220,4) (220,5) 103
(1,5) (1,6) 163
(2,5) (2,6) 467
(3,5) (3,6) 259
(4,5) (4,6) 423
(5,5) (5,6) 355
(6,5) (6,6) 58
(7,5) (7,6) 137
(8,5) (8,6) 480
(9,5) (9,6) 90
(10,5) (10,6) 85
(11,5) (11,6) 379
(12,5) (12,6) 314
(13,5) (13,6) 487
(14,5) (14,6) 84
(15,5) (15,6) 293
(16,5) (16,6) 4
(17,5) (17,6) 221
(18,5) (18,6) 431
(19,5) (19,6) 337
(20,5) (20,6) 447
(21,5) (21,6) 279
(22,5) (22,6) 199
(23,5) (23,6) 422
(24,5) (24,6) 417
(25,5) (25,6) 360
(26,5) (26,6) 414
(27,5) (27,6) 50
(28,5) (28,6) 103
(29,5) (29,6) 204
(30,5) (30,6) 303
(31,5) (31,6) 142
(32,5) (32,6) 45
(33,5) (33,6) 129
(34,5) (34,6) 241
(35,5) (35,6) 300
(36,5) (36,6) 150
(37,5) (37,6) 4
(38,5) (38,6) 326
(39,5) (39,6) 447
(40,5) (40,6) 240
(41,5) (41,6) 13
(42,5) (42,6) 279
(43,5) (43,6) 394
